photon_energy_eV    total_yield    yield_error
5.39998076 4.6706591779498475e-05 0.00016574719710034535
5.49999553 7.342285439854283e-05 8.239025568416761e-05
5.60001561 0.00019336306418073158 0.0014787747298587066
5.69999515 6.502839665835384e-05 8.134664019306969e-05
5.80001187 0.00011328018277383844 7.185208495502101e-05
5.89999233 1.5216449363587977e-05 2.0598890853878752e-05
6.00001586 1.3419101908650721e-05 2.766661638831122e-05
6.09999378 4.3949984694422486e-05 3.271680202711136e-05
6.20000673 1.1058825068662681e-05 2.6880282941311958e-05
6.29998247 3.220574628941692e-05 2.4618014861263154e-05
6.40001057 5.63675527177047e-05 2.596185539683641e-05
6.50000566 4.895215302027193e-05 2.451045068580493e-05
6.599995 3.468603938799782e-05 2.4858469696530305e-05
6.70001138 3.704692219580871e-05 2.2843400393255302e-05
6.79997202 5.5106267367649475e-05 2.2598428298400766e-05
6.90001821 4.402836177500889e-05 2.1425693668317416e-05
7.00000799 4.595619426181421e-05 2.1007845775811194e-05
7.10000843 4.678734808036238e-05 1.9862977309014516e-05
7.19999193 6.195923616373849e-05 1.8548142830762387e-05
7.29996967 4.2804633591404025e-05 1.775376545057615e-05
7.40000122 6.739032584684018e-05 1.877030433605327e-05
7.49996156 4.351167012637587e-05 2.0402613155063952e-05
7.60000604 6.983618967395968e-05 1.5250605646504151e-05
7.69999804 5.5422954472848034e-05 1.499319550023322e-05
7.80000564 7.889377767715093e-05 1.538219492517509e-05
7.90000782 8.908348465122988e-05 1.5651373272216328e-05
7.99999188 9.628664818767624e-05 1.5875509568060846e-05
8.10001333 9.290978584535321e-05 1.5971152692963515e-05
8.1999679 0.00011946242979562388 1.6645306438030035e-05
8.30002147 0.00012972473932497053 1.7131364153946214e-05
8.40000344 0.00013258315008044948 1.7296319555140326e-05
8.50001415 0.000137489010535631 1.73183028577829e-05
8.59998675 0.00017584912839681678 1.8566364861048582e-05
8.70000668 0.00019626412427588288 1.9386991027999983e-05
8.80000695 0.000229283929832699 2.0788360774298133e-05
8.9000086 0.00024467895818035046 2.158097801117755e-05
8.99999866 0.00027124656024238894 2.279710125171042e-05
9.09996657 0.0003127181778116444 2.4801657434508836e-05
9.20003571 0.0003463046636568564 2.6516384285160742e-05
9.30001152 0.0004049138918203241 2.94925070053872e-05
9.39999587 0.0004466859983161862 3.1737853375427436e-05
9.50000698 0.0005069775276016912 3.5003361493811715e-05
9.59999227 0.0005625362047941394 3.813742548193376e-05
9.70001293 0.0006596703845219062 4.36273382309188e-05
9.80001255 0.0006920699798226899 4.559472062969808e-05
9.89999679 0.0007999917462261124 5.186252124693371e-05
9.99999901 0.0008781476543877106 5.648809586531965e-05
10.0999829 0.0009863434449542611 6.315679618819643e-05
10.1999626 0.0010790977095905697 6.90959669883765e-05
10.30006 0.0011864481223627786 7.596974728757803e-05
10.3999846 0.0013000811602766815 8.324581187997439e-05
10.4999838 0.0014200892161007107 9.093007678931476e-05
10.6000239 0.0015495201343542445 9.921769928673867e-05
10.7000049 0.0016992048885805175 0.00010880220006434296
10.8000121 0.0018424801892016616 0.0001179762955646702
10.8999934 0.00203886358056583 0.0001305509680954019
10.9999743 0.002268841177463179 0.00014527671934300165
11.1000441 0.0025428408143588705 0.00016282125650354768
11.1999933 0.002962004576916661 0.00018966083297842105
11.2999118 0.0034033816845790528 0.00021792275753763172
11.4000148 0.003991202342492771 0.00025556164455714227
11.5000481 0.004934383502758817 0.00031595470603303777
11.5999831 0.0062162664633087 0.00039803526457552916
11.7000816 0.008146434934277103 0.000521626349763394
11.7998971 0.01196531711171235 0.0007661541200657537
12.0000177 0.02837842912535382 0.0018171060735282334
12.0999767 0.02794696638541982 0.001789478978252028
12.1999973 0.026563027829373396 0.0017008636731386407
12.3000162 0.024001034067220924 0.0015368160295927383
12.3999796 0.024104476473804537 0.0015434395754004772
12.5000233 0.02368950697245689 0.0015168685626817317
12.5999948 0.02379463813041002 0.0015236002413377223
12.7000098 0.02482196264197589 0.0015893811061348851
12.7999783 0.026327023540281207 0.0016857520253023978
12.9000237 0.027314223703508788 0.001748963678226
13.0000017 0.02825768870811818 0.0018093749146078405
13.0999849 0.028173196661411673 0.001803964783886473
13.1999801 0.027590033658531805 0.001766624132305331
13.2999958 0.027248192708387384 0.0017447356315731628
13.4000125 0.026601013820025207 0.0017032959633128959
13.4999663 0.02580844821328527 0.001652547002850174
13.6000318 0.025364969897725444 0.001624150535338804
13.7000119 0.025463123661061036 0.0016304354427488978
13.7999634 0.025496920147444584 0.0016325994737599234
13.9000261 0.026016977097422105 0.0016658993663723881
13.9999968 0.02686888207755551 0.0017204479006352076
14.09997 0.02762142766673054 0.0017686343296534057
14.2000136 0.027476466056832162 0.00175935225767503
14.2999998 0.027395165660386196 0.0017541464922850693
14.3999975 0.02675353340885953 0.001713061982072379
14.4999775 0.02606352300491257 0.001668879758656443
14.5999969 0.025509935015972016 0.0016334328319610734
14.699993 0.02445584299330149 0.001565938010172611
14.7999363 0.02372365536305077 0.0015190551265565416
14.9000686 0.023342082286175025 0.0014946225283875927
15.0000206 0.023224502403986307 0.001487093742452822
15.0999625 0.02286547251208296 0.0014641046124247298
15.1999989 0.022859862835344434 0.0014637454178538438
15.3000306 0.0229220660871419 0.0014677283693461587
15.3999729 0.022887819881723292 0.0014655355422665986
15.5000122 0.022574985602635992 0.0014455043747193615
15.6000273 0.02222545299532065 0.0014231233676226217
15.6999516 0.02175367027763214 0.001392914534078289
15.8000218 0.021249026158148953 0.0013606015441508818
15.9000124 0.020851373422289914 0.0013351393454402768
16.0000424 0.02044714834353754 0.0013092563114489016
16.0999621 0.02037249095792434 0.001304475906295669
16.2000224 0.020391283877988352 0.001305679240315209
16.2999447 0.020712265592303297 0.001326232098262237
16.4000743 0.021321553248481787 0.0013652455438506884
16.4999956 0.02320509518350521 0.0014858510740143847
16.6000836 0.027009623169679847 0.0017294597276170487
16.6999574 0.026677867242476755 0.0017082169834331876
16.8000716 0.026036872397418243 0.001667173287148551
16.9000163 0.025187430491806922 0.0016127824666074407
17.0000001 0.024414629409026913 0.0015632990531688107
17.1000748 0.02366000036307534 0.0015149792178247774
17.1998841 0.022705424235437973 0.0014538565224312809
17.2999851 0.021890114346448858 0.0014016512173192321
17.3999961 0.020940629306534467 0.0013408545105976746
17.5000942 0.01988836077885582 0.0012734764494590056
17.5999836 0.0190590834596553 0.001220376792437744
17.7000983 0.01800865678028885 0.0011531166671347693
17.7999603 0.0170891107202989 0.0010942369904931941
17.8999868 0.016181889469643135 0.0010361464867053136
18.0000318 0.015180050484681204 0.0009719974918391648
18.09997 0.014260316485716594 0.0009131057812315514
18.1999414 0.01334458371732045 0.0008544702743882632
18.3000928 0.012529354549247123 0.0008022701379367379
18.3999968 0.011668425685755943 0.0007471437932114788
18.499851 0.010926357470662652 0.0006996282434725551
18.600173 0.010311855467154742 0.0006602809167464296
18.6999887 0.00962495065803884 0.0006162975484258374
18.7999861 0.009038383760042134 0.0005787389412114524
18.9000079 0.008554100538558053 0.0005477296848787845
19.0000082 0.008028246704241597 0.0005140586105601975
19.0999991 0.0075930593935374 0.00048619302639026486
19.1999636 0.007190999754826707 0.00046044864821504557
19.3000059 0.006807372883216466 0.00043588454301766484
19.3999891 0.006455216037696528 0.00041333550268839875
19.4998328 0.006143676812434237 0.0003933872590465185
19.6001759 0.0058396690031386886 0.0003739212613258266
19.6999713 0.005534589113157739 0.0003543866169469229
19.7997951 0.005258329449244888 0.00033669736744866867
19.9001179 0.005021925176310371 0.0003215601081500717
19.9998609 0.004782731608546574 0.0003062442468382077
20.1001465 0.004582412006136231 0.0002934175338239419
20.1998425 0.004399206364023087 0.00028168664894945067
20.3001283 0.004222188823969858 0.0002703519959377949
20.3999865 0.004066557501877678 0.00026038672903187343
20.5001452 0.003921616642652975 0.00025110598574491305
20.5999745 0.003781718854888341 0.00024214815658892336
20.6999054 0.003713139310419578 0.00023775692315512295
20.8001036 0.0035526239159075447 0.000227478923024312
20.8999558 0.0034452041706394226 0.00022060070327926024
21.0000145 0.003343986234005538 0.0002141195930460265
21.1000173 0.003249993898870373 0.0002081011470536577
21.2000589 0.0031635266252301843 0.00020256454009775539
21.2999785 0.0030867213615759456 0.00019764660364508663
21.4000586 0.0030037410912435287 0.00019233327384314436
21.4999126 0.0029322710146872945 0.0001877569560486603
21.600131 0.002861260082720048 0.0001832100378526386
21.7000183 0.0027979014454035047 0.00017915310559011582
21.7999016 0.0027333077930696407 0.00017501709378168307
21.9001208 0.0026785101531293515 0.00017150833281712522
22.0000397 0.0026220889333698097 0.00016789561201964676
22.0999166 0.002567723968423614 0.00016441455577250502
22.2000602 0.0025243990123351816 0.00016164040500834948
22.2999777 0.0024691625450009537 0.00015810354538056982
22.4000196 0.002429330620291872 0.00015555305775528664
22.5000117 0.0023857296511721527 0.00015276123353382627
22.5998989 0.00234759786968118 0.00015031960819101285
22.7000874 0.0022985997391396103 0.00014718219701841662
22.8000212 0.0022878583333962362 0.00014649441146382167
22.9000246 0.002266617099554389 0.00014513430887136452
23.0000013 0.0022439823857551616 0.00014368498002601264
23.0999827 0.002227894134151082 0.00014265482928817264
23.1999576 0.002211202305941696 0.00014158603079042676
23.300003 0.0022075567601970874 0.00014135260196726707
23.3999754 0.0022146268144224482 0.0001418053063229708
23.6000583 0.0029048464944549253 0.0001860009299466618
23.7000573 0.002874309613847477 0.00018404561554313033
23.7997965 0.0028321272620965227 0.0001813446271542458
23.900052 0.0028098801990103796 0.00017992012006565997
23.9996495 0.0027782349488324584 0.00017789383538152124
24.1001281 0.002771931342521703 0.00017749020763800492
24.2000637 0.002766488195936008 0.00017714167619969727
24.3000113 0.0027585265178628384 0.0001766318800612878
24.4001067 0.002756140690322951 0.00017647911255981791
24.5000492 0.0027608536507880703 0.00017678088927366057
24.5999237 0.0027737024969878323 0.00017760361685890803
24.7000675 0.0027837209039215903 0.00017824510790148817
24.8002257 0.0027978878643032216 0.00017915223597539186
24.8995783 0.0028102827541050582 0.00017994589616849638
25.0001387 0.002833225827271156 0.00018141496964720673
25.1001246 0.002829148675444224 0.0001811539045503795
25.1998757 0.002844256946562624 0.00018212130592021889
25.299952 0.00284657664058618 0.00018226983881047544
25.4000356 0.0028492812745381925 0.0001824430198825906
25.500064 0.0028454636003076694 0.00018219856945862975
25.60008 0.0028386692159648565 0.00018176351658799077
25.7000202 0.0028349671106921884 0.00018152646618798128
25.7998735 0.0028191968578604484 0.00018051667730660767
25.9000124 0.002815399997426301 0.00018027355961588727
26.0000478 0.0028154680172069327 0.00018027791500694715
26.0999127 0.002804802874179574 0.00017959501264880548
26.2001551 0.0027940514830839588 0.00017890658771970095
26.30004 0.0027973527551646256 0.00017911797227244174
26.4001768 0.0028027132072106823 0.00017946120867663875
26.4998166 0.0027939482634449365 0.00017889997843797693
26.6002693 0.002802872346154762 0.00017947139854093832
26.6997387 0.00281124511735741 0.00018000751748315985
26.8000723 0.0028147591108993123 0.0001802325228553432
26.899921 0.002837467328579708 0.00018168655824552567
27.0001591 0.0028533654382757435 0.00018270453396076615
27.0998868 0.0028620016503433845 0.00018325752134886538
27.1999912 0.0028760020894337134 0.00018415398685760523
27.3000462 0.002887441794032817 0.0001848864853554812
27.3999811 0.002916553006734388 0.0001867505124717861
27.499847 0.0029380671247141244 0.0001881280881746165
27.5999456 0.002948361913683577 0.00018878727630231213
27.7000232 0.0030027726664853525 0.00019227126440273226
27.8000713 0.00296572672971781 0.0001898991670465857
27.8999543 0.0029845648615335245 0.00019110539603075727
28.0001733 0.003005566235847329 0.00019245014011963848
28.0999534 0.0030119621681535666 0.00019285967961134897
28.2000573 0.003021525909527737 0.0001934720578532839
28.2998953 0.0030307334313260563 0.00019406162691321897
28.4000473 0.0029999075866393205 0.00019208780978068916
28.4999814 0.0030283536404318466 0.0001939092459456716
28.6000867 0.003024202919417481 0.00019364347012237253
28.6999553 0.0030078874166192876 0.00019259876820824237
28.8000494 0.0030025882105324973 0.00019225945345890757
28.9000252 0.002997099789914043 0.00019190802306803508
29.0000103 0.0029745004205422513 0.00019046095737028292
29.1000668 0.0029603574425650495 0.0001895553649195299
29.1996317 0.0029445052089559663 0.00018854032670713222
29.3005818 0.0029155345622704876 0.0001866853002074733
29.3996896 0.0029105155113927153 0.00018636392414422958
29.50011 0.0028694850392146586 0.0001837366920354633
29.6000017 0.002847177246429175 0.00018230829634877972
29.7001397 0.00281662857567196 0.0001803522270073109
29.7999416 0.0028017411383118125 0.00017939896589737065
29.8997591 0.002767447079842419 0.00017720307472751754
