photon_energy_eV    total_yield    yield_error    energy_region
3.09999739 -1.3621669594068677e-05 8.722124273208323e-07 0
3.19999724 -0.00017127434137359464 1.0966908864996116e-05 0
3.29999874 -0.00029854935707559024 1.911648624360706e-05 0
3.39999961 -1.0752438954732276e-05 6.884920248256335e-07 0
3.50000038 -1.5251731381926666e-05 9.765873087442985e-07 0
3.60000274 2.409425768405466e-05 7.319621259750408e-05 0
3.69999545 -8.868989588824879e-05 5.6789242197744175e-06 0
3.79999877 -6.8251472154806784e-06 4.3702265559491653e-07 0
3.90000331 9.734468137618488e-05 0.0001270631537097033 0
3.99999384 -1.899803777044213e-05 2.0573639733442687e-05 0
4.10000235 -2.0372157671362715e-05 1.3044545655430612e-06 0
4.20000661 -3.128760552381352e-05 2.0033842526076824e-06 0
4.29999397 0.00090528688847656 0.0007224478152355926 0
4.40000093 -0.011716539355995256 0.0047930265991817786 0
4.09999685 -0.005395670006414046 0.0003454914539525924 1
4.19998643 -9.79315364457482e-05 6.270677946248087e-06 1
4.30000454 -0.0003668902998752167 0.011711535221965318 1
4.39999777 -0.00013749867006050982 0.00026379391986184947 1
4.50000825 -0.00010297187429196695 6.593417040527821e-06 1
4.59999087 0.000555910307634419 0.0067471207891187214 1
4.70000225 1.1231019617055433e-05 3.411883903444614e-05 1
4.79999687 1.55854177133819e-06 3.1603335448788617e-06 1
4.90000508 2.9983452659020595e-05 6.110847414592219e-05 1
4.99999214 7.344904469429666e-06 4.988800155444029e-06 1
5.10000126 -0.0001455800843046264 0.0006308669189096395 1
5.20000199 0.00010598951300382859 9.2394907457148e-05 1
5.30000365 -8.580630369973293e-06 8.514580773894326e-06 1
5.39998791 -8.144862118364325e-06 1.621878853885251e-05 1
5.50000789 -5.8154984802603085e-05 6.567088767675397e-05 1
5.59999767 -1.1476558247374639e-05 8.141018818050403e-06 1
5.70000576 -2.273868601353864e-05 8.977900448514944e-06 1
5.80000637 -1.0152468653599925e-05 2.885559429011594e-06 1
5.89997811 -3.633492234059682e-05 1.0280317055613204e-05 1
6.00002175 -3.871549904902617e-05 8.8746699091216e-06 1
6.09998466 -5.66857568356139e-06 1.0686677520098145e-06 1
6.19999731 -3.5036123337493717e-06 5.49749465664031e-07 1
6.30001814 1.0159264681902323e-05 2.586689737538959e-05 1
6.40000722 -3.047301605038322e-06 3.638553905066543e-07 1
6.49999876 -1.6312437961486507e-05 1.6261652925614974e-06 1
6.599995 -2.3567836770143017e-05 2.032115070585522e-06 1
6.70000404 -3.000439556183183e-05 2.4083011464604645e-06 1
6.79998713 -3.4965747650876293e-06 2.5572125751311813e-07 1
6.89999098 2.3134261371628093e-07 2.0494301813293525e-05 1
7.000024 2.0710143209808453e-05 2.0654539483410218e-05 1
7.10001255 -6.078444282687866e-06 3.89210339123638e-07 1
7.19998346 6.696108245751047e-06 1.7896924979110246e-05 1
7.30000015 1.221429172565686e-05 1.7489819805792e-05 1
7.39999227 2.0892772264522058e-05 1.839724439431485e-05 1
7.5000305 1.3014837555562362e-05 2.0297643090852335e-05 1
7.5999966 7.723530549865422e-06 2.437386578329269e-05 1
7.69999804 -1.78275745453849e-05 1.16136135763838e-06 1
7.80001559 -0.00012179333145436434 1.1552677671284938e-05 1
7.89998742 -0.00023981560905925357 9.780930270190128e-05 1
7.09996724 -3.1241389922825386e-05 2.000425010259336e-06 2
7.19999193 -1.3411830472707537e-07 8.587761676813408e-09 2
7.3000045 -8.955446965471418e-06 5.734283952165449e-07 2
7.40001911 -2.5577578582281218e-06 1.637764133550482e-07 2
7.50000752 1.1425695990704002e-05 1.551428993179406e-05 2
7.60000132 -1.4323996510307684e-05 9.171832923205467e-07 2
7.69998836 -8.329084485534072e-06 5.333216274494912e-07 2
7.8000305 -4.858692675950579e-06 3.111081283561662e-07 2
7.89999762 1.0577665679074496e-05 1.474412361775824e-05 2
8.00000234 1.8097460363169762e-05 1.4938364356487466e-05 2
8.09999724 3.830230003713553e-05 1.5300422753297612e-05 2
8.20000636 3.512875224523034e-05 1.5398151912663015e-05 2
8.2999877 6.05262443141643e-05 1.591818905016705e-05 2
8.40000344 6.443469463063e-05 1.5989433163046297e-05 2
8.50003777 6.414779352117216e-05 1.591823881440576e-05 2
8.5999807 7.60181235705628e-05 1.624146770438748e-05 2
8.70000668 7.541465929102842e-05 1.6288475445988373e-05 2
8.80000062 8.610739689801158e-05 1.6682195099096025e-05 2
8.90001507 0.00011611666005657195 1.7501667504774464e-05 2
9.0000119 0.0001478497679379369 1.8445334401981797e-05 2
9.09997334 0.00016873304690578024 1.9244361639597423e-05 2
9.20001496 0.0001887534982655517 2.0129837085468443e-05 2
9.30001152 0.00020188516788342126 2.0670611474859462e-05 2
9.39998865 0.00023353848633666456 2.202031805629858e-05 2
9.49999223 0.00027169929529467275 2.37100921859131e-05 2
9.60000733 0.0003005340335707518 2.5114224532293922e-05 2
9.70001293 0.00034162369817061214 2.7137757482187036e-05 2
9.79999685 0.00038248035999376384 2.9295950063417596e-05 2
9.9000048 0.0004097157657415054 3.0877058096037844e-05 2
9.99999901 0.0004701931094042144 3.4153215468874056e-05 2
10.0999495 0.0005487617644252515 3.849878401963044e-05 2
10.2000136 0.0005864762662178912 4.07386587682962e-05 2
10.3000166 0.0006654091264258935 4.520362181956778e-05 2
10.3999934 0.0007623211097941584 5.0691182492865654e-05 2
10.5000018 0.0008520752486973382 5.586519506906695e-05 2
10.599978 0.0009216020915218417 5.994370404679512e-05 2
10.7000236 0.001040837893494414 6.693363052613021e-05 2
10.8000121 0.0011676689684270397 7.47672947303339e-05 2
10.9000031 0.0013385850536137987 8.571126400659864e-05 2
10.9999644 0.0015161774327828552 9.708272468100615e-05 2
11.1000441 0.0017255168589795384 0.00011048698821830883 2
11.2000138 0.0020408085719510844 0.0001306755083102071 2
11.299964 0.002446118326232323 0.0001566279954232686 2
11.4000041 0.0029841097546864834 0.00019107625497392816 2
11.4999941 0.0037682974171975767 0.00024128876525913407 2
11.5999831 0.004920089515388593 0.0003150394442632394 2
11.700048 0.006585657098516385 0.0004216878058693196 2
11.7999881 0.009320444266124033 0.0005967996258406082 2
11.8999954 0.00527113857635351 0.0006043149841080635 2
11.0999334 0.0035345236882053264 0.0015888273059206314 3
11.1999216 0.0022168374930389054 0.0014682617355736745 3
11.2999744 0.004471756942835136 0.0014519363028720424 3
11.4000891 0.004388714420000681 0.0012524796616801928 3
11.5000049 0.005998660505116108 0.0010587018598345475 3
11.6000051 0.009316281220572275 0.0009527024758168211 3
11.7000145 0.012209840967886288 0.000986450668940736 3
