photon_energy_eV    total_yield    yield_error    energy_region
3.09999661 8.28466022481534e-05 2.868242954082397e-05 0
3.19999724 0.000202295647186819 6.023606210713076e-05 0
3.29999963 0.0002156784942550808 6.456560417231629e-05 0
3.40000055 -9.863539172534534e-05 6.718777150073109e-05 0
3.50000038 9.229645936175908e-05 2.690890526162501e-05 0
3.60000062 -0.00017726561983346853 0.0005420665954019015 0
3.70000217 0.000813092626030114 0.00028693832611605347 0
3.79999641 -6.370126560011083e-05 4.3948970989223636e-05 0
3.89999958 -0.00034110958763891493 0.00046454306643881527 0
3.99999514 -0.0025968925341010806 0.0016767525998529383 0
4.10000372 0.00016191198929979908 9.407741668374563e-05 0
4.20000661 8.531434322894259e-05 4.957108520350499e-05 0
4.29999397 0.004223465339383134 0.009408597003851946 0
4.39999618 0.00986186781307346 0.005367493536608783 0
4.10000509 -0.00043474054250900346 0.0018727884235310295 1
4.19999652 0.00027351605969829455 0.00013053232165910773 1
4.29999246 -0.0002597174499767576 0.0001890622108355561 1
4.40000093 -4.3596930744148475e-05 5.403988242226211e-05 1
4.50000329 0.00010470025952862997 7.682197308278583e-05 1
4.5999926 5.745122355209571e-05 3.3750023175416935e-05 1
4.70000767 -3.5262063561774275e-05 0.00011064914202993168 1
4.79999876 -5.4767424262206414e-05 0.0001171882810261557 1
4.90000508 -2.5004960609870064e-05 1.93848320377475e-05 1
4.99999622 0.00011753287980393265 0.0002621813531169678 1
5.09999275 8.097388677087777e-05 0.00014935749025999124 1
5.2000042 2.2179524490886786e-05 3.225276099378962e-05 1
5.30000595 9.710166190033785e-05 0.00017015563684133838 1
5.39998076 3.14785872321154e-06 8.301707807696046e-06 1
5.50001036 1.2410696747573489e-05 1.7265191022444863e-05 1
5.60000024 9.080487000403462e-06 1.4976819580684854e-05 1
5.70000046 1.0326176615199746e-05 2.144294888184264e-05 1
5.79999812 5.1509412200417826e-05 3.582042956212855e-05 1
5.89998949 1.6137632380562745e-05 1.6032720883800856e-05 1
6.00000116 3.2452863344574e-05 2.105391658257922e-05 1
6.09999682 2.1014734263875016e-05 1.8192113913362282e-05 1
6.19999102 2.3176333240082125e-05 2.1004836258767194e-05 1
6.29998895 2.1816282079186353e-05 2.417771555015859e-05 1
6.40001057 1.634106198073427e-05 2.016186047149061e-05 1
6.50000221 1.667165492215931e-05 2.155709835711922e-05 1
6.59998788 4.9395784331605405e-05 2.2949657748909643e-05 1
6.70000771 1.5943192299049463e-05 2.0103110414405308e-05 1
6.79998713 3.551299399776609e-05 2.1368859571179662e-05 1
6.89997931 3.196798104217933e-05 2.0371395929373033e-05 1
