photon_energy_eV    total_yield    yield_error    energy_region
3.09999896 5.751887081002585e-05 1.712696403815899e-05 0
3.1999939 0.00016940130508415736 6.920048808374237e-05 0
3.30000319 0.0001588735722211931 5.205581165851097e-05 0
3.39999866 0.00011255214431971426 4.4631903974631966e-05 0
3.49999638 5.948374157624212e-05 1.8714007650279465e-05 0
3.60000274 -3.8355003497972136e-05 0.00011709587174350138 0
3.69999881 0.00045179313903698297 0.00013746509919783267 0
3.79999994 7.128617964294243e-05 4.43269272829794e-05 0
3.89999958 -7.299683927413961e-05 9.823370493929657e-05 0
3.99998991 -0.0001370952880748213 9.332907209857681e-05 0
4.10000784 5.959018634740723e-05 2.7462424955283828e-05 0
4.20000229 5.416203973825581e-05 1.6661964919666567e-05 0
4.2999985 -0.0010511667473648973 0.0009547072568881624 0
4.40000251 0.006204078564890105 0.004358799885801074 0
4.10000097 0.00020317792075774652 7.66543153258452e-05 1
4.19999652 8.49722609722354e-05 4.937232157183365e-05 1
4.29999246 -0.00014051442478703067 0.00010173942121770179 1
4.40000093 -5.4249042034193666e-05 5.4464676504717146e-05 1
4.50000991 4.866115476004128e-05 2.2047796307186986e-05 1
4.59999087 0.0005774714687609039 0.000214890744214159 1
4.69999323 -1.757725076603648e-05 5.405302624288931e-05 1
4.80000064 -6.0487938606508046e-05 0.00012823339012839249 1
4.90000508 3.430941058734541e-05 1.5677260874850943e-05 1
4.99999009 -3.492394778830032e-05 3.762098568010708e-05 1
5.10000338 -0.00016637881681026996 0.0001833714229272559 1
5.2000042 -1.935417831177593e-05 1.8342227364345143e-05 1
5.30001054 -2.4198919505675486e-05 2.563719411978934e-05 1
5.39998314 1.0990391498616029e-05 2.2557787344996107e-05 1
5.50000047 0.00011787884673430676 0.00019017526842703532 1
5.6000028 6.949280340597417e-05 0.0001000642284369799 1
5.70000311 3.991524724387513e-05 5.089010491317368e-05 1
5.80000087 0.000122134486324931 6.94361779499019e-05 1
5.89999802 4.319495565055591e-05 2.6339631667868625e-05 1
6.00000998 1.4536364100638932e-05 2.5124594863294225e-05 1
6.09999986 6.652312313633212e-05 2.7837888734951054e-05 1
6.19998788 4.4270438865534654e-05 2.4097957043560378e-05 1
6.30000841 3.747518202650461e-05 2.4871381288345165e-05 1
6.40000722 3.8009941789995946e-05 2.5088575096785553e-05 1
6.50000221 4.607891659622636e-05 2.538613559786117e-05 1
6.59999144 1.6003482157865553e-05 2.4979074217596975e-05 1
6.70000771 2.104714688996e-05 2.4224948014025003e-05 1
6.79999091 3.413348203424857e-05 2.2864626902108523e-05 1
6.89999487 4.3196768391735295e-05 2.160789694898906e-05 1
7.00001199 2.9979236997403987e-05 2.1122201983057777e-05 1
7.10001255 2.1885061606114593e-05 1.9937107929495367e-05 1
7.1999877 3.683982792391916e-05 1.8574006788752542e-05 1
7.29999144 4.1394543773655095e-05 1.7854392965055426e-05 1
7.40000122 3.6815376115733006e-05 1.8218516882696974e-05 1
7.50001671 2.0936115923896995e-05 2.0116195688329082e-05 1
7.5999966 3.028803475196413e-05 2.539823192292927e-05 1
7.69998836 8.531971882041095e-05 4.303100700031225e-05 1
7.8000305 0.00027706302606699966 0.0001165515033330268 1
7.89998742 0.0007533906067642333 0.0005280342615161888 1
7.10000843 3.5465912691922886e-05 1.7881302390160594e-05 2
7.19997923 5.558547855050749e-05 1.719507448005138e-05 2
7.29999144 1.9428193977470704e-05 1.6554773550222627e-05 2
7.40001016 1.9805991804541446e-05 1.5852899972162345e-05 2
7.50000292 2.419431363352651e-05 1.540529149944764e-05 2
7.60000132 4.569034029380396e-05 1.5150752345953564e-05 2
7.69998836 9.471351200468204e-06 1.4771302786876204e-05 2
7.80000067 3.73564135395789e-05 1.470600672053022e-05 2
7.90000782 3.093141106870404e-05 1.4761652034048134e-05 2
7.99997096 3.2365468462505894e-05 1.4789000560989366e-05 2
8.10001333 1.2674831870636087e-05 1.4899651770310194e-05 2
8.20000636 5.302805747870239e-05 1.5300941131370937e-05 2
8.30001584 1.3491629709657226e-05 1.518087432625639e-05 2
8.39996308 1.8821153250223392e-05 1.5296520624206954e-05 2
8.50005548 2.2429094342690915e-05 1.5193469281256843e-05 2
8.5999807 1.6431135852877442e-05 1.5231964021045415e-05 2
8.70002524 3.641978617048361e-05 1.5461559929854303e-05 2
8.79997531 2.792410493717474e-05 1.5385919052027037e-05 2
8.89999565 3.2875413430938545e-05 1.5689404290837616e-05 2
9.00001852 2.296608801061226e-05 1.5758722548411477e-05 2
9.0999801 4.097679329497324e-05 1.601511347455212e-05 2
9.20000805 5.8876772726279424e-05 1.639901467324221e-05 2
9.29997619 5.0494226616715005e-05 1.6447076032716232e-05 2
9.39999587 5.945652132349527e-05 1.6726026118567872e-05 2
9.50000698 6.905222121120973e-05 1.698862226690761e-05 2
9.59998474 9.001026540928461e-05 1.7605882119938294e-05 2
9.70003599 0.00018412765155416096 2.0392717021670052e-05 2
9.79996546 0.00011230603356895915 1.8706435437818246e-05 2
9.90003683 0.00014165747790389403 1.977621366816717e-05 2
10.0000072 0.000101560108982706 1.925069006051855e-05 2
10.0999579 0.00016078003127348653 2.1084149783113958e-05 2
10.1999966 0.00013555670179435104 2.0800634600855965e-05 2
10.3000253 0.0001644806256650243 2.1915197854321756e-05 2
10.3999846 0.00018167375769523065 2.270115686184463e-05 2
10.5000198 0.00022175713707581944 2.4263103336544177e-05 2
10.6000055 0.0002479293013188404 2.5462938089406534e-05 2
10.7000143 0.00027433822020106203 2.6781320050440607e-05 2
10.8000407 0.0002990140110574229 2.8126372344117857e-05 2
10.8999837 0.0003428736894761702 3.0378761450326382e-05 2
11.000004 0.00040316562760611354 3.3553484968443464e-05 2
11.0999837 0.0004197508586329098 3.493379187421832e-05 2
11.2000343 0.0005166586197077806 4.0075774416802805e-05 2
11.299964 0.000580526656345633 4.388080269101778e-05 2
11.4000466 0.0007345213881774973 5.2480715942303976e-05 2
11.4999725 0.0008308599984388766 5.851661013743701e-05 2
11.6000161 0.0011024186622185356 7.446320410459402e-05 2
11.6999921 0.0014075253312865236 9.383500440038195e-05 2
11.7999995 0.0020270872007879296 0.0001417488429811276 2
11.9000185 0.0027758315057084073 0.001065484075074797 2
11.0999233 0.004879573732107819 0.002370320152986963 3
11.1999318 0.0009104056128903074 0.002212477401959771 3
11.299964 0.003538606703883927 0.001629753266451591 3
11.4000572 0.005216190252285276 0.001604393815362872 3
11.4999941 0.004094461672046098 0.0010812008036565476 3
11.6000271 0.002509523873103427 0.0008045472678387558 3
11.700048 0.0027392783584305196 0.0006804274855754651 3
11.7999881 0.0018665937849573536 0.0006343920845043924 3
11.8999954 0.002946685331397186 0.0005955700993956805 3
12.0000177 0.00244869812431839 0.0005510926929014854 3
12.0999528 0.002604247505183322 0.0004847161358371386 3
12.2000095 0.0021733297551435006 0.00038942380407881147 3
12.3000285 0.0019099427224442249 0.00032060618565309606 3
12.3999921 0.0021068850820002817 0.0002941334984389561 3
12.4999722 0.0020968306557145665 0.00028664406456405084 3
12.6000467 0.0021969658057195483 0.0002959172667329936 3
12.6999702 0.00250269595770084 0.0003157535303104405 3
12.8000185 0.0029643361558810673 0.0003445199318812198 3
12.8999829 0.002882760128493495 0.00034822653543957943 3
12.9999879 0.0023183465542577835 0.0003307840813972745 3
13.0999709 0.0026942799440991287 0.0003244945261800359 3
13.2000086 0.0024958330010169017 0.00029372638234771893 3
13.3000102 0.002582548561281136 0.00027387915950407237 3
13.3999979 0.002397195756226267 0.0002474729690617625 3
13.4999365 0.002737498248451384 0.00024613475482317576 3
13.6000469 0.002735458098612284 0.00023841976153766154 3
13.7000119 0.002728742398426448 0.00023569986901527944 3
13.7999789 0.002696766592964594 0.00023433388024452786 3
13.8999787 0.0027282676691950183 0.00023823135653683837 3
13.9999968 0.003008696967685024 0.00025394730904758237 3
14.1000025 0.0032182981352443006 0.000263818701579975 3
14.2000136 0.00324766231632945 0.00026354208149446094 3
14.2999831 0.002976647498017864 0.00024637487482683694 3
14.3999636 0.0031766350546286533 0.0002484660051247547 3
14.4999775 0.0031724195478296463 0.00024105224018241623 3
14.6000666 0.003120938117757435 0.00023171755060203284 3
14.699993 0.002942878631984549 0.00021669072926774896 3
14.79999 0.0030486531698851985 0.00021782279398607071 3
14.9000323 0.003107168791555333 0.00021820371119429848 3
14.9999655 0.003003485498704609 0.00021142334167751253 3
15.100037 0.003063999828271782 0.00021384960470180084 3
15.1999801 0.0030120721806328574 0.0002109326815200353 3
15.3000115 0.0030394625354024244 0.00021237194850128277 3
15.3999535 0.0030681000488595334 0.000213572207450871 3
15.4999926 0.0029367985018336445 0.00020552793481055947 3
15.6000273 0.003018708441325468 0.00020821881960557065 3
15.6999919 0.002855377944332155 0.0001974502754218603 3
15.8000218 0.0028128271850055733 0.0001932089166843256 3
15.8999505 0.0028810784846720412 0.00019517254982976635 3
16.0000633 0.0027789264241632524 0.00018865327377933183 3
16.1000045 0.002708223262199784 0.00018487299608385167 3
16.1999367 0.0025450217455932405 0.00017724189144524452 3
