wavelength(nm)    spectral_current_density(A*m^-2*nm^-1)    error(A*m^-2*nm^-1)
1.05 1.2898060265324485e-10 1.8184548132249887e-10
1.15 4.140341560411016e-10 5.848979754831173e-10
1.25 5.720134439504122e-10 7.574853889222852e-10
1.35 6.327771966114566e-10 8.752701136762933e-10
1.45 1.498405645060632e-09 2.0453302423575746e-09
1.55 3.072227051406684e-09 4.157382665253233e-09
1.65 3.943578603084124e-09 5.187503391062263e-09
1.75 3.4268181715144236e-09 4.05019075589039e-09
1.85 2.269021296162329e-09 2.4800337509502044e-09
1.95 1.4845714989903667e-09 1.37464438405558e-09
2.05 4.214243744309257e-09 2.6260318603030015e-09
2.15 5.555914973827679e-09 3.3490081327683638e-09
2.25 6.683862111979774e-09 3.947357275102239e-09
2.35 1.3116815833391666e-09 1.0824923175871611e-09
2.45 1.1919581654946582e-09 9.63677174600035e-10
2.55 1.0649704345466497e-09 8.378591027298644e-10
2.65 5.639888720337129e-10 4.675057321269263e-10
2.75 1.25094371500164e-09 7.735469639298607e-10
2.85 1.983321048888754e-09 1.1327368066785229e-09
2.95 2.8695622138676615e-09 1.5760230536779794e-09
3.05 2.2905859212910226e-09 1.4977610597011785e-09
3.15 2.175397821316824e-09 1.684520410363114e-09
3.25 6.030842909537259e-09 3.53143284227585e-09
3.35 5.3256138860282025e-09 2.993652186228861e-09
3.45 4.160622038100952e-09 2.169545939166447e-09
3.55 1.6480061641655666e-09 1.0319103891337319e-09
3.65 1.8655590638196536e-09 1.3167769916312776e-09
3.75 2.295950094500548e-09 1.8008013844887595e-09
3.85 3.975956932825698e-09 2.714601182248964e-09
3.95 3.039982659300425e-08 1.0614450510854259e-08
4.05 3.414783823235255e-08 1.2169979334833711e-08
4.15 3.1753641296979415e-08 1.1216413903355017e-08
4.25 7.531541660438283e-09 4.297216584971695e-09
4.35 4.491906378982894e-09 2.621672961114957e-09
4.45 -5.338428215931203e-10 3.27490795229226e-10
4.55 -2.006565107146955e-09 1.2143003056720361e-09
4.65 6.358381589074509e-10 3.4214788825237485e-10
4.75 3.1642989420287516e-09 1.561563092387732e-09
4.85 1.3451985253904719e-09 6.10597111384734e-10
4.95 -3.8716318557761273e-10 1.914014333700261e-10
5.05 1.7199194294026372e-09 8.213314938328398e-10
5.15 1.9407567177269065e-09 9.384362437214193e-10
5.25 9.129609320400957e-10 4.974980842761373e-10
5.35 1.3735003403462058e-09 7.760785031292015e-10
5.45 2.293247535719363e-09 9.546788843532032e-10
5.55 2.7329867626539082e-09 1.0803621626915527e-09
5.65 2.989882864461446e-09 1.0428927451009603e-09
5.75 1.5451418694027886e-09 6.15895138265167e-10
5.85 1.189988203254151e-09 5.550923647705122e-10
5.95 9.84241687755929e-10 3.7702382650820853e-10
6.05 1.8593810868099541e-09 7.032011293643862e-10
6.15 2.3892241715204336e-09 8.940471783590477e-10
6.25 2.8745692462912473e-09 1.6089171154518035e-09
6.35 2.404839392102834e-09 1.3917527089064295e-09
6.45 2.0160423117571336e-09 1.1802770596876625e-09
6.55 1.642810250746244e-09 7.517045744823196e-10
6.65 1.9702041409428365e-09 9.315129010126266e-10
6.75 1.779132494429069e-09 7.977312475951031e-10
6.85 2.3324815179512237e-09 9.99948061827475e-10
6.95 2.4458481373788766e-09 9.500632388624944e-10
7.05 2.9691050412351284e-09 1.5561173212505028e-09
7.15 3.2638880642204534e-09 2.1758289837875892e-09
7.25 2.9993249225323542e-09 2.1499578914393515e-09
7.35 2.807817489303141e-09 1.6307127391979178e-09
7.45 2.505533124044445e-09 1.5567774235775952e-09
7.55 2.7277330782887893e-09 2.1880699034540443e-09
7.65 2.5572726553127666e-09 2.159837444108713e-09
7.75 2.024251476807363e-09 1.5199090667281423e-09
7.85 1.894857006943587e-09 1.308891196483151e-09
7.95 1.7976869392559627e-09 1.3728752865964082e-09
8.05 2.0045202872528164e-09 1.4179133617238545e-09
8.15 2.5356981964134016e-09 1.7011533142526207e-09
8.25 3.2246301304998886e-09 2.0708190516313187e-09
8.35 3.218521443528233e-09 2.10978378533841e-09
8.45 2.8056166860294007e-09 1.8635265678565714e-09
8.55 2.4307789596759843e-09 1.5931167690731086e-09
8.65 2.3365131794625426e-09 1.3578434570645155e-09
8.75 2.430833702291388e-09 1.3118877481398487e-09
8.85 2.4477593170378655e-09 1.454892740163894e-09
8.95 2.469570721688969e-09 1.6148725545365976e-09
9.05 2.571223939862749e-09 1.6205414493753936e-09
9.15 2.7315285980111728e-09 1.7254359895636568e-09
9.25 2.9392143409270525e-09 1.8677922485292775e-09
9.35 3.0715463217519958e-09 2.087446578417124e-09
9.45 3.3147291234130444e-09 1.7831439745659572e-09
9.55 3.4856922056845594e-09 1.5256096420979593e-09
9.65 3.771094984920085e-09 1.6329310158883028e-09
9.75 3.5611719311143915e-09 1.5729289124307612e-09
9.85 3.0840555528779446e-09 1.4595181991076981e-09
9.95 3.0597059079872873e-09 1.4140422247815407e-09
10.05 3.037097354722093e-09 1.5992093373770926e-09
10.15 3.511259480162016e-09 1.736077887867709e-09
10.25 4.118689574386692e-09 1.7933082361709374e-09
10.35 4.4118700566356305e-09 2.1041935516312658e-09
10.45 4.222910831523278e-09 1.9219642878380656e-09
10.55 2.9817296138325564e-09 1.2245625007825312e-09
10.65 2.51830549237231e-09 1.0102618680143863e-09
10.75 2.220388144251903e-09 1.1364352953752998e-09
10.85 2.117002294075429e-09 1.4217108489850423e-09
10.95 2.0438827751392487e-09 1.298865769901715e-09
11.05 2.491718996291099e-09 1.1440501582521104e-09
11.15 2.9320270950214875e-09 1.2719982263496258e-09
11.25 3.38124920280802e-09 1.2222841354879296e-09
11.35 3.1234036248862694e-09 1.1637925820444808e-09
11.45 3.263122502894056e-09 1.1958538882317622e-09
11.55 3.441616110342811e-09 1.245823520728908e-09
11.65 3.6277400510967366e-09 1.5460431913338289e-09
11.75 3.314848511152174e-09 1.4418404971028793e-09
11.85 2.506251514781322e-09 1.0491532778656796e-09
11.95 2.063525199823061e-09 9.791973134804874e-10
12.05 2.0777885337038658e-09 1.0918650158599588e-09
12.15 2.2651957558757078e-09 1.1634866080612509e-09
12.25 2.397149129992533e-09 1.1250014952737204e-09
12.35 2.273552850459502e-09 1.0954302519411802e-09
12.45 1.8224707743335663e-09 9.877348652448431e-10
12.55 1.3170789872913936e-09 7.28758052428145e-10
12.65 1.4682088257158997e-09 6.958108093381159e-10
12.75 1.692530565163216e-09 8.143241394652839e-10
12.85 2.2410604410418927e-09 9.87544206390166e-10
12.95 2.827352554010236e-09 1.1147042399551182e-09
13.05 3.818042321145718e-09 1.4615038120236157e-09
13.15 3.6690745708618166e-09 1.4188152255861238e-09
13.25 3.1518045958271497e-09 1.3273650200359247e-09
13.35 2.476167151390106e-09 1.3341245618756866e-09
13.45 2.3140602702582854e-09 1.1572296694689169e-09
13.55 2.2493035580103872e-09 9.786275212313337e-10
13.65 2.2124621028073983e-09 9.48431428029153e-10
13.75 2.4768386140807426e-09 1.0822268270707335e-09
13.85 2.476256294234284e-09 1.1093773948747874e-09
13.95 2.864432245440837e-09 1.273217646128157e-09
14.05 3.3164285879110484e-09 1.933523545802554e-09
14.15 3.2191743896303934e-09 1.8217861146784664e-09
14.25 2.916800536487826e-09 1.1863127459348627e-09
14.35 4.448207863525626e-09 1.6019144811426377e-09
14.45 6.210495621281981e-09 2.3392833998014833e-09
14.55 6.438106666491252e-09 2.4286508133718264e-09
