wavelength(nm)    spectral_current_density(A*m^-2*nm^-1)    error(A*m^-2*nm^-1)
1.05 9.745367673495298e-10 1.3753528055715684e-09
1.15 1.5560820486706148e-09 2.1992599511128248e-09
1.25 2.713512021731821e-09 3.591491487747763e-09
1.35 4.586325758162097e-09 6.328135360545777e-09
1.45 8.090184236998562e-09 1.102650193471186e-08
1.55 1.157005677185666e-08 1.5648741811353438e-08
1.65 1.3853632238798068e-08 1.821418984075981e-08
1.75 1.4128337634251773e-08 1.667267350202904e-08
1.85 1.1258883051697575e-08 1.2267923510163585e-08
1.95 7.004822491352893e-09 6.462381869228146e-09
2.05 1.5140640143090964e-08 9.402846493094217e-09
2.15 1.5187879312799845e-08 9.15240130485309e-09
2.25 1.571611010176106e-08 9.29280743156397e-09
2.35 3.0858009596877815e-09 2.548552882977215e-09
2.45 3.2135257310829655e-09 2.599386144269203e-09
2.55 3.5318264219912566e-09 2.778511666100034e-09
2.65 2.120018565943938e-09 1.7565451918094553e-09
2.75 4.188448823426918e-09 2.5886194804414347e-09
2.85 4.965905186077181e-09 2.8371190070885155e-09
2.95 5.440516311089233e-09 2.9912272923200687e-09
3.05 3.6964856431744693e-09 2.41907349457761e-09
3.15 3.455436482084299e-09 2.676826449149126e-09
3.25 1.0854843473793826e-08 6.357681252439659e-09
3.35 1.2178348889856433e-08 6.845469263795026e-09
3.45 1.2403331275612459e-08 6.4690019186063224e-09
3.55 5.164556567979812e-09 3.2344822005794297e-09
3.65 4.061808444007858e-09 2.8662714856566774e-09
3.75 2.858804145993898e-09 2.242501817616734e-09
3.85 3.0684110429381197e-09 2.0999456841243496e-09
3.95 1.7767032652877984e-08 6.345543507871333e-09
4.05 1.903099701645196e-08 7.00979156514377e-09
4.15 2.097602393168043e-08 7.694127243260772e-09
4.25 7.398938848018216e-09 4.28062167053039e-09
4.35 9.966560447222439e-09 5.8829456484519965e-09
4.45 7.699009135988773e-09 4.772386607002069e-09
4.55 7.102899245788047e-09 4.3407573546453e-09
4.65 6.488466186596614e-09 3.545301147300299e-09
4.75 8.083238468084472e-09 4.054306882185058e-09
4.85 7.207294719437668e-09 3.325842506598711e-09
4.95 9.105884511058548e-09 4.227709712466717e-09
5.05 9.958773110969362e-09 4.82328116330283e-09
5.15 1.0451231074305606e-08 5.1221753237804425e-09
5.25 4.51975111171363e-09 2.488829576229363e-09
5.35 6.34207633097766e-09 3.6177758235622122e-09
5.45 1.0063265952285937e-08 4.260788175725494e-09
5.55 1.1573323524865257e-08 4.658428702893767e-09
5.65 1.2338872780078678e-08 4.400170321097436e-09
5.75 6.242887619756278e-09 2.5290320148777294e-09
5.85 4.7098042112916946e-09 2.2217844344047192e-09
5.95 3.8087495824528365e-09 1.481995400295587e-09
6.05 7.015097802816209e-09 2.6936820711545978e-09
6.15 8.76548676555116e-09 3.3287823033212212e-09
6.25 1.0238831155396162e-08 5.767137366353785e-09
6.35 8.314144474255486e-09 4.838850364821169e-09
6.45 6.773266432353588e-09 3.986109339347364e-09
6.55 5.376927268898649e-09 2.4800431574874075e-09
6.65 6.304719211982919e-09 3.0014267668642223e-09
6.75 5.591101804427931e-09 2.5240522970072395e-09
6.85 7.2344554184004715e-09 3.1209959816411956e-09
6.95 7.525974937309774e-09 2.940635136251485e-09
7.05 9.10866124060048e-09 4.783617153371226e-09
7.15 1.0025641515402396e-08 6.6858755784289704e-09
7.25 9.253432248253884e-09 6.629016637740025e-09
7.35 8.714518131324432e-09 5.048665742532046e-09
7.45 7.821959028160638e-09 4.842441588626409e-09
7.55 8.550368789334329e-09 6.837662219213214e-09
7.65 8.024020420633085e-09 6.7528422654774256e-09
7.75 6.3340222393311695e-09 4.730029048422134e-09
7.85 5.891058374218033e-09 4.039120271844955e-09
7.95 5.5372428903050585e-09 4.200110695534835e-09
8.05 6.108424088479047e-09 4.283662760919205e-09
8.15 7.646812633748774e-09 5.077497201420562e-09
8.25 9.642343336155748e-09 6.118801196075594e-09
8.35 9.574057582230854e-09 6.201037526638353e-09
8.45 8.334811521310483e-09 5.4690823092996515e-09
8.55 7.238605770907815e-09 4.683085157913834e-09
8.65 6.993897140094725e-09 3.995897088992553e-09
8.75 7.322886993420481e-09 3.8729731010097144e-09
8.85 7.417117709937847e-09 4.3348292307523225e-09
8.95 7.5106725456148e-09 4.8428488828591275e-09
9.05 7.822315480579388e-09 4.855687471223561e-09
9.15 8.280874990491339e-09 5.151972880253355e-09
9.25 8.846972547989849e-09 5.5380701229809424e-09
9.35 9.151454949850567e-09 6.137977433850788e-09
9.45 9.750799871069864e-09 5.1347675344531144e-09
9.55 1.0095147191832167e-08 4.275959826220772e-09
9.65 1.0705977057113732e-08 4.4822452312348756e-09
9.75 9.842413008000932e-09 4.2086549457866206e-09
9.85 8.232097922002902e-09 3.78793400225196e-09
9.95 7.879503537934896e-09 3.535605217706905e-09
10.05 7.81160715837225e-09 4.023326477944669e-09
10.15 8.604483174610631e-09 4.145780718358395e-09
10.25 9.896281959558642e-09 4.164969313235177e-09
10.35 1.0597195587993642e-08 4.9136412226696225e-09
10.45 1.0245925066030944e-08 4.521041546685945e-09
10.55 7.334888702126042e-09 2.89976535374566e-09
10.65 6.277259969343918e-09 2.420021957699777e-09
10.75 5.5912466742567806e-09 2.7939395347895823e-09
10.85 5.3624812359091485e-09 3.5520950939057583e-09
10.95 5.183390069407412e-09 3.2437258622804572e-09
11.05 6.2969578543948105e-09 2.805932588231175e-09
11.15 7.3515345082628725e-09 3.083463323360208e-09
11.25 8.379171404359399e-09 2.8825466469239803e-09
11.35 7.625902919129374e-09 2.7118523610423895e-09
11.45 7.83051244314639e-09 2.7338365745259803e-09
11.55 8.104359611667907e-09 2.7909035589096516e-09
11.65 8.37636639540143e-09 3.4451788856094383e-09
11.75 7.505126807571617e-09 3.155205471411437e-09
11.85 5.568354887533529e-09 2.2468217106789654e-09
11.95 4.505394948833042e-09 2.0783112637014797e-09
12.05 4.466671858231866e-09 2.2942429614925234e-09
12.15 4.805631165081348e-09 2.4103795930323653e-09
12.25 5.031552020168196e-09 2.295249839278983e-09
12.35 4.733781531153328e-09 2.2207614636428583e-09
12.45 3.773720460065942e-09 2.003192503263641e-09
12.55 2.718715422588945e-09 1.4748837457321839e-09
12.65 3.027671015957331e-09 1.3968097895870757e-09
12.75 3.493138980732153e-09 1.6377747651925764e-09
12.85 4.635849700771303e-09 1.981040071765186e-09
12.95 5.8685790968458025e-09 2.226591716151959e-09
13.05 7.957870413621212e-09 2.9251132289610836e-09
13.15 7.682361409065231e-09 2.8557124069139385e-09
13.25 6.630151150244487e-09 2.701788698634125e-09
13.35 5.232311903292637e-09 2.7638412758506658e-09
13.45 4.9097222516738825e-09 2.3994702981250064e-09
13.55 4.7888388222517075e-09 2.020821585535733e-09
13.65 4.722996720146478e-09 1.9618989956175687e-09
13.75 5.2966796662834654e-09 2.2453623825640027e-09
13.85 5.299445117742806e-09 2.3069444059345867e-09
13.95 6.12832317994129e-09 2.645602581747208e-09
14.05 7.085491613029708e-09 4.062271993453892e-09
14.15 6.860717427368015e-09 3.814096667831127e-09
14.25 6.194410872996225e-09 2.4326687327152398e-09
14.35 9.404010312589007e-09 3.2374957055303934e-09
14.45 1.3058367086468978e-08 4.721570534826463e-09
14.55 1.3452301638123681e-08 4.872656453316628e-09
14.65 1.2603651140445982e-08 4.743921981065421e-09
14.75 2.233265597342668e-08 1.1362166050483042e-08
14.85 2.574656339561349e-08 1.355414010958185e-08
14.95 2.515646239041053e-08 9.974934044201966e-09
15.05 1.59582639166059e-08 5.466760743218442e-09
15.15 1.8633877709157798e-08 1.1904921246734642e-08
15.25 1.612223285770683e-08 1.3163097900339192e-08
15.35 1.3569211321406066e-08 1.0654147528391326e-08
15.45 1.0155977071076329e-08 8.250406973415371e-09
15.55 7.711365188500625e-09 4.849319583649464e-09
15.65 7.732545186322494e-09 5.415170760928857e-09
15.75 1.2714138459262781e-08 1.0708770028703657e-08
15.85 1.388523542994104e-08 1.0209187900714711e-08
15.95 1.2127645369351695e-08 6.074289540864641e-09
16.05 1.0110071168318126e-08 6.616080468325845e-09
16.15 9.338674979027797e-09 6.91482526382125e-09
16.25 7.162363004283539e-09 5.707257990608002e-09
16.35 9.616545084240528e-09 9.406617009762425e-09
16.45 1.1498740489497509e-08 1.1012275639137713e-08
16.55 1.0932129139118008e-08 7.680461040049443e-09
16.65 2.545339269111199e-08 8.68967991170738e-09
16.75 5.046243492877771e-08 1.7223036489862298e-08
16.85 6.569737165868189e-08 2.242530433896155e-08
16.95 2.0850305034364645e-07 7.113091962373565e-08
17.05 3.4016151803510427e-07 1.1609537292781647e-07
17.15 3.390470737389266e-07 1.1578741083610121e-07
17.25 1.929729923332527e-07 6.594662320786483e-08
17.35 2.3634436396632754e-07 8.084167328315211e-08
17.45 2.6304653847545484e-07 9.002060798288627e-08
17.55 2.939119607381037e-07 1.0067865301482986e-07
17.65 1.9861450058194705e-07 6.810838378745972e-08
17.75 1.728304576026454e-07 5.930836946514125e-08
17.85 1.4702074874771938e-07 5.0501335154739083e-08
17.95 1.8098862238878678e-07 7.308711061877993e-08
18.05 2.0008849145853924e-07 9.702152382170737e-08
18.15 1.88874511927548e-07 7.405858883216808e-08
18.25 5.811746207794389e-08 2.6008584136753583e-08
18.35 9.769555198083857e-08 3.3702027737216375e-08
18.45 1.0039956249183574e-07 3.664604559412964e-08
18.55 1.1414822829704846e-07 3.9447002598244074e-08
18.65 9.305399303773286e-08 4.666404119238916e-08
18.75 1.8620121697532273e-07 9.408275408077533e-08
18.85 1.7809036355530188e-07 8.212316795368562e-08
18.95 1.5411340809029183e-07 5.330659576424342e-08
19.05 6.610678259478157e-08 2.86401243128115e-08
19.15 9.392334883246898e-08 4.5092858269610825e-08
19.25 1.474078537998124e-07 8.980174476680966e-08
19.35 1.713409427295352e-07 1.0264388237891745e-07
19.45 2.0131584467950655e-07 1.408254875696039e-07
19.55 1.451993890137853e-07 1.0775009143724326e-07
19.65 9.177061084872709e-08 4.531816083976707e-08
19.75 4.6396672299798983e-08 2.696738308475874e-08
19.85 3.729562980170375e-08 1.7851836034942816e-08
