wavelength(nm)    spectral_current_density(A*m^-2*nm^-1)    error(A*m^-2*nm^-1)
1.05 1.6413531160098207e-09 2.3154828364502824e-09
1.15 3.2883021763972737e-09 4.645467703945192e-09
1.25 5.385345124570161e-09 7.123698860470147e-09
1.35 8.915665492346774e-09 1.2295384654551869e-08
1.45 1.8288972892365095e-08 2.4914079628733008e-08
1.55 2.906963041000305e-08 3.929490533273544e-08
1.65 3.2452055757813874e-08 4.26397053125335e-08
1.75 2.5477221708998977e-08 3.004193302026462e-08
1.85 1.3543151482835937e-08 1.4741272575181227e-08
1.95 5.631547116179472e-09 5.184564129738787e-09
2.05 1.0551714040010776e-08 6.516829986081442e-09
2.15 1.243671836779093e-08 7.456554154634484e-09
2.25 1.608092429551613e-08 9.46987565300942e-09
2.35 3.604241998228861e-09 2.971654525514741e-09
2.45 3.822558668346144e-09 3.086850836347057e-09
2.55 3.955213936866512e-09 3.1056275090790697e-09
2.65 2.2226571510121553e-09 1.8380476666508764e-09
2.75 4.450303076494008e-09 2.7412684339820688e-09
2.85 5.941102334319184e-09 3.384159320760479e-09
2.95 7.646360288530342e-09 4.196051289846224e-09
3.05 5.873544888455026e-09 3.841672304099078e-09
3.15 5.730894716147167e-09 4.4393939997117374e-09
3.25 1.7341826606096915e-08 1.0158236568067616e-08
3.35 1.7836133907079167e-08 1.0023809435813603e-08
3.45 1.6858796208001795e-08 8.786420748464975e-09
3.55 7.197628893961234e-09 4.506597837132075e-09
3.65 6.784627007470965e-09 4.791062254159038e-09
3.75 6.370524633758036e-09 5.0033839282794235e-09
3.85 8.973970717962522e-09 6.147634038809443e-09
3.95 6.008587198746746e-08 2.1349486848968147e-08
4.05 6.255602371297411e-08 2.2734989028304577e-08
4.15 5.7503744399904253e-08 2.0740938722369428e-08
4.25 1.5574116044031782e-08 8.954554440506995e-09
4.35 1.7290769178776354e-08 1.0155012596050553e-08
4.45 1.5598291398826792e-08 9.636919949033113e-09
4.55 2.389256708565428e-08 1.4561208006796163e-08
4.65 2.997465810529175e-08 1.628694662165155e-08
4.75 3.299623656543283e-08 1.6403258656293897e-08
4.85 2.698714658442663e-08 1.2278952410127212e-08
4.95 5.113416353279216e-08 2.3437519882767904e-08
5.05 4.8183301077335255e-08 2.304609969365626e-08
5.15 5.2875845918889224e-08 2.5616983978566323e-08
5.25 2.403019605350883e-08 1.3118775932860512e-08
5.35 3.578641364766706e-08 2.0257526745985936e-08
5.45 6.024398080254322e-08 2.5160227587938408e-08
5.55 7.280215049167861e-08 2.8867900670680312e-08
5.65 8.048374219991546e-08 2.81596698986654e-08
5.75 4.173169922352413e-08 1.666070162263149e-08
5.85 3.204487974610341e-08 1.4957177502436177e-08
5.95 2.6360096220093756e-08 1.0099867178821252e-08
6.05 4.963620400299661e-08 1.8766189671426015e-08
6.15 6.395877100148616e-08 2.3915372884010166e-08
6.25 7.777915069633857e-08 4.351121157644126e-08
6.35 6.627020128793429e-08 3.832671642259147e-08
6.45 5.690296365392518e-08 3.328273816248723e-08
6.55 4.7637330837672126e-08 2.175108061631106e-08
6.65 5.872252936791389e-08 2.7685712123846912e-08
6.75 5.442082467564108e-08 2.4294343333347582e-08
6.85 7.301475325253786e-08 3.10958429677034e-08
6.95 7.808974968474442e-08 3.000665251979904e-08
7.05 9.636927820311253e-08 5.0117589417664525e-08
7.15 1.0740054246680343e-07 7.11618950937457e-08
7.25 9.985521097856427e-08 7.110942276242596e-08
7.35 9.443980855869188e-08 5.418390425936361e-08
7.45 8.502290232230699e-08 5.216665357066419e-08
7.55 9.320814109363582e-08 7.412142427166216e-08
7.65 8.771336546097279e-08 7.343099170622179e-08
7.75 6.935071381727225e-08 5.143305058143299e-08
7.85 6.440302682089556e-08 4.37879226944579e-08
7.95 6.010876116267034e-08 4.5276204143817155e-08
8.05 6.532151797615194e-08 4.542833668400122e-08
8.15 7.976855773349788e-08 5.2469200562938384e-08
8.25 9.707440726066675e-08 6.095907459472678e-08
8.35 9.206547989857954e-08 5.902600778576734e-08
8.45 7.59024541763443e-08 4.930774792700775e-08
8.55 6.20828838240733e-08 3.974779979458942e-08
8.65 5.63953770098889e-08 3.17868831539924e-08
8.75 5.563035579594785e-08 2.89554077899533e-08
8.85 5.335006675314719e-08 3.077299281963764e-08
8.95 5.147864848798333e-08 3.283678249132029e-08
9.05 5.140801878485158e-08 3.154107576913062e-08
9.15 5.243853328152647e-08 3.224788597402468e-08
9.25 5.4167306558578964e-08 3.352107277011137e-08
9.35 5.4322543765746914e-08 3.607272454147748e-08
9.45 5.6313953266749276e-08 2.917453222976039e-08
9.55 5.705771969664115e-08 2.355790962487214e-08
9.65 5.973463452654203e-08 2.436100730966836e-08
9.75 5.478649537926631e-08 2.2845283889067435e-08
9.85 4.621893486457108e-08 2.0813920529882065e-08
9.95 4.527744899995682e-08 1.9861873242651433e-08
10.05 3.975552167699529e-08 2.0159841447422396e-08
10.15 4.8865595696067796e-08 2.3080542225817117e-08
10.25 5.758727198388581e-08 2.359163890702975e-08
10.35 6.021150405099356e-08 2.7312851189750484e-08
10.45 5.557889768729208e-08 2.3948922996723475e-08
10.55 3.7777841424300166e-08 1.450742953477828e-08
10.65 3.084276335342453e-08 1.1538388901888601e-08
10.75 2.647103450701153e-08 1.299727081801308e-08
10.85 2.4753678382105815e-08 1.623422739602998e-08
10.95 2.3597345593615235e-08 1.4600782771598656e-08
11.05 2.8549104644885235e-08 1.243238264634666e-08
11.15 3.3442373639947056e-08 1.3659645554906587e-08
11.25 3.84378977604732e-08 1.2696684100744542e-08
11.35 3.537169929612673e-08 1.2104967283906443e-08
11.45 3.67472919324807e-08 1.2325160721618959e-08
11.55 3.84351757614415e-08 1.2701939123238015e-08
11.65 4.0044197567625615e-08 1.6011823213736093e-08
11.75 3.603824373374122e-08 1.4755160214887061e-08
11.85 2.674252442769934e-08 1.0493159355435982e-08
11.95 2.1541293624744286e-08 9.73613074440332e-09
12.05 2.1162219202096617e-08 1.0701724299773996e-08
12.15 2.246181346097171e-08 1.1094900735836059e-08
12.25 2.3110228508175468e-08 1.0362497379721107e-08
12.35 2.1296398516899244e-08 9.843933263482316e-09
12.45 1.6588624298464923e-08 8.714988494071086e-09
12.55 1.1659730685253472e-08 6.270155000507571e-09
12.65 1.266082782616028e-08 5.779622287585284e-09
12.75 1.4247159851440759e-08 6.621505089151942e-09
12.85 1.8462009958312542e-08 7.818999839403804e-09
12.95 2.2860698959723695e-08 8.590820182228699e-09
13.05 3.0391698949059616e-08 1.1075455650262106e-08
13.15 2.8840533295886386e-08 1.0643861421653428e-08
13.25 2.4536507641611726e-08 9.946199038210549e-09
13.35 1.914304431325272e-08 1.0082907249677975e-08
13.45 1.780774398085838e-08 8.67488610144504e-09
13.55 1.7263785153104718e-08 7.253141313199707e-09
13.65 1.696191619600162e-08 7.0123676815757595e-09
13.75 1.8987354282931143e-08 8.009583278808757e-09
13.85 1.8992788548010076e-08 8.226072847285949e-09
13.95 2.1985105708056888e-08 9.437889097544515e-09
14.05 2.546572203487277e-08 1.4550081620960314e-08
14.15 2.471578814063195e-08 1.3686774420181326e-08
14.25 2.2371959661671093e-08 8.71326519799859e-09
14.35 3.4046575494553594e-08 1.1589440880670768e-08
14.45 4.737589092366681e-08 1.6950591896603237e-08
14.55 4.88808527510291e-08 1.7518293375874982e-08
14.65 4.583648406209367e-08 1.708382282227142e-08
14.75 8.122327291948291e-08 4.110667298794558e-08
14.85 9.356463384893161e-08 4.9022123266211944e-08
14.95 9.126722939514373e-08 3.5898398309000666e-08
15.05 5.775079250982585e-08 1.958323765112632e-08
15.15 6.721183277593792e-08 4.2825569245541055e-08
15.25 5.7922691317625086e-08 4.722079384703553e-08
15.35 4.853240503310653e-08 3.805128370487823e-08
15.45 3.614903471930683e-08 2.9331622670335144e-08
15.55 2.7310567817241147e-08 1.7144989781993518e-08
15.65 2.7249573418147078e-08 1.9060633209745898e-08
15.75 4.459290853164813e-08 3.7533335707484666e-08
15.85 4.8491369677074426e-08 3.5625632414596865e-08
15.95 4.219831752170985e-08 2.110401966999795e-08
16.05 3.507764875279882e-08 2.293620450153589e-08
16.15 3.233959192717562e-08 2.3930426576896343e-08
16.25 2.4782522540117528e-08 1.9735719389241625e-08
16.35 3.3285306903524805e-08 3.2543468869080294e-08
16.45 3.986143077372972e-08 3.81526139873695e-08
16.55 3.800219814159829e-08 2.6663065121875094e-08
16.65 8.883233566490144e-08 3.011619462906558e-08
16.75 1.7701697055437377e-07 5.99064471385837e-08
16.85 2.3188652629431226e-07 7.83516388309328e-08
16.95 7.412009137650604e-07 2.498332914515939e-07
17.05 1.2188772981210407e-06 4.101997117533845e-07
17.15 1.2254059020468057e-06 4.117963908330536e-07
17.25 7.038607100943568e-07 2.36183687363889e-07
17.35 8.702784997725932e-07 2.916541492165147e-07
17.45 9.780208197876128e-07 3.272033821394308e-07
17.55 1.1034284665593395e-06 3.6870633705459283e-07
17.65 7.528115871889786e-07 2.5128686133604673e-07
17.75 6.611713399815956e-07 2.203942749432456e-07
17.85 5.674119256980536e-07 1.8895330478458147e-07
17.95 7.042772850755079e-07 2.7776314019449293e-07
18.05 7.844842183608701e-07 3.7392416471818475e-07
18.15 7.455128977204394e-07 2.8432204539914935e-07
18.25 2.3073851296665553e-07 1.010091679968719e-07
18.35 3.8976144989976073e-07 1.2931019532381683e-07
18.45 4.0209169798944463e-07 1.4160814632248573e-07
18.55 4.5843273403811476e-07 1.5204819612071562e-07
18.65 3.743622975003033e-07 1.8411429709959805e-07
18.75 7.496036972768572e-07 3.714603797357786e-07
18.85 7.166925971523486e-07 3.2275268226572243e-07
18.95 6.193648187321149e-07 2.0517790977898439e-07
19.05 2.6507351141255503e-07 1.1176336149892712e-07
19.15 3.754427128616707e-07 1.7633228773492975e-07
19.25 5.869625019849379e-07 3.5279304789385054e-07
19.35 6.79189002563199e-07 4.0127963323842754e-07
19.45 7.939915687760346e-07 5.498748998478518e-07
19.55 5.695457261005222e-07 4.189456008987555e-07
19.65 3.579006525269246e-07 1.7326261446637198e-07
19.75 1.7987253378533278e-07 1.0308698346469493e-07
19.85 1.43720873960889e-07 6.738873094085763e-08
19.95 1.4818365343654997e-07 8.894733054538612e-08
20.05 2.3778940090598335e-07 1.837278126520965e-07
20.15 4.5607392798002097e-07 4.3091312061633937e-07
20.25 4.674839458116616e-07 4.281344393780567e-07
20.35 3.5189621359794866e-07 3.1634614358218023e-07
20.45 2.412854173560909e-07 2.6365112790679236e-07
20.55 1.323931820746612e-07 9.038613930080635e-08
20.65 1.3849337627275131e-07 6.456905136822493e-08
20.75 1.5654560083242548e-07 7.76526837840082e-08
20.85 1.8110688863151132e-07 1.0568094658912893e-07
20.95 1.8860974461219731e-07 1.528650058742558e-07
21.05 3.3881515182279483e-07 4.0000699902124206e-07
21.15 3.1708485443157875e-07 3.962382913088993e-07
21.25 1.9832165446869854e-07 2.0578173469851014e-07
21.35 1.1388847115574967e-07 7.658776650634603e-08
21.45 1.2335513700521608e-07 8.52431250454098e-08
21.55 1.5744163346634863e-07 6.721009520228001e-08
21.65 2.054758233814879e-07 9.073809505910604e-08
21.75 2.356863232495511e-07 1.1908603490079027e-07
21.85 2.4633294252750156e-07 1.692117902880217e-07
21.95 2.84004664138467e-07 2.428221751592232e-07
22.05 2.668839359241078e-07 2.0341653321486023e-07
22.15 2.303305188100806e-07 1.4757143148184342e-07
22.25 2.14912693925187e-07 1.3172018644683212e-07
22.35 2.778407073855344e-07 1.2456921171319804e-07
22.45 3.6817743102723624e-07 1.5558765275554763e-07
22.55 4.4740543758070554e-07 1.5956963465284052e-07
22.65 4.409433263130171e-07 1.6758142155985825e-07
22.75 3.93644598554052e-07 1.7133801182498792e-07
22.85 2.696468919706306e-07 1.1708543207636064e-07
22.95 1.9965704831646463e-07 6.817609744965387e-08
23.05 1.6839919067979481e-07 5.645010654667771e-08
23.15 1.64426758609532e-07 5.866739274733314e-08
23.25 1.8245875317583772e-07 7.152241209421728e-08
23.35 2.480836582301894e-07 1.1364203904233565e-07
23.45 2.3967379504646063e-07 1.1008783066914125e-07
23.55 1.8367822581127726e-07 6.825957366864744e-08
23.65 1.55042833894989e-07 5.97343211358595e-08
23.75 1.780406269939242e-07 6.486861944869511e-08
23.85 1.733746158577562e-07 8.789861930858867e-08
23.95 1.7474360828160222e-07 1.1170833829384545e-07
