wavelength(nm)    spectral_current_density(A*m^-2*nm^-1)    error(A*m^-2*nm^-1)
1.05 1.756362339488008e-10 2.472433804205099e-10
1.15 4.182629267337538e-10 5.897744148369192e-10
1.25 5.641977932782562e-10 7.449799682505072e-10
1.35 6.921928889441214e-10 9.533736868905647e-10
1.45 1.564860627804782e-09 2.128572673315653e-09
1.55 2.983911174410092e-09 4.026865380576193e-09
1.65 3.76160591536508e-09 4.9342690221145995e-09
1.75 3.398500846097738e-09 4.000467626471614e-09
1.85 2.4515943901538644e-09 2.6642532821594087e-09
1.95 1.6922435964471412e-09 1.5551182339141691e-09
2.05 4.717066887768993e-09 2.9018239662057803e-09
2.15 6.011875531039621e-09 3.5850119591251563e-09
2.25 7.1284817256329465e-09 4.1693630885953126e-09
2.35 1.4223058347218998e-09 1.1683939094253603e-09
2.45 1.3691619729855725e-09 1.1016809585169758e-09
2.55 1.3539338493587802e-09 1.0596248767682491e-09
2.65 7.909960281654856e-10 6.524769639827722e-10
2.75 1.760919290457484e-09 1.0798269236831051e-09
2.85 2.5829178151464737e-09 1.4622566894977182e-09
2.95 3.4504001221863592e-09 1.878648089427199e-09
3.05 2.6256841120543145e-09 1.70705149032907e-09
3.15 2.472223523748719e-09 1.9069108595505734e-09
3.25 7.129584372929029e-09 4.147585002756733e-09
3.35 6.9996081817147604e-09 3.908704188919236e-09
3.45 6.503882095811807e-09 3.3686129988307535e-09
3.55 2.911469098921022e-09 1.8153150616718838e-09
3.65 3.0296461458347562e-09 2.130512778850931e-09
3.75 3.1177879840761926e-09 2.4371855009956196e-09
3.85 4.651739539577651e-09 3.1612768056394815e-09
3.95 3.202553691580285e-08 1.0980747116613312e-08
4.05 3.338424808108683e-08 1.1692793174354277e-08
4.15 2.9358492506898154e-08 1.0189419170161409e-08
4.25 6.689775644862243e-09 3.791669380077586e-09
4.35 4.007446624193175e-09 2.3240408624938547e-09
4.45 -3.9721400743186276e-11 2.419126738787154e-11
4.55 -8.759207025590104e-10 5.273896140693413e-10
4.65 1.1688293000389225e-09 6.243974781826325e-10
4.75 2.735083081237141e-09 1.338088999408708e-09
4.85 1.2553531893640234e-09 5.64253600839224e-10
4.95 1.1113300033692033e-09 5.031492472936718e-10
5.05 2.1092602982522847e-09 9.991343158184296e-10
5.15 2.400498323586933e-09 1.1519520234318382e-09
5.25 1.1215004445425045e-09 6.076902147191832e-10
5.35 1.6641344375920763e-09 9.355129341728262e-10
5.45 2.7381862485311693e-09 1.1291800512943218e-09
5.55 3.2247879539740012e-09 1.2610799711404629e-09
5.65 3.5017722034180173e-09 1.2037862840216126e-09
5.75 1.8043032100969674e-09 7.108305342141531e-10
5.85 1.3899475385461001e-09 6.425931122410099e-10
5.95 1.1514230891656635e-09 4.3498272899108847e-10
6.05 2.1770012222295817e-09 8.113035379124395e-10
6.15 2.7930633919324505e-09 1.029212284864493e-09
6.25 3.3441664258631404e-09 1.8587978356939266e-09
6.35 2.774032304571445e-09 1.5948189421984162e-09
6.45 2.297915533341315e-09 1.3364008387094927e-09
6.55 1.8447960489497148e-09 8.346480812606127e-10
6.65 2.17473784310701e-09 1.0168911089371016e-09
6.75 1.927355616667839e-09 8.529527036879623e-10
6.85 2.477767719001089e-09 1.0459818515094416e-09
6.95 2.5472564696401094e-09 9.693836343424631e-10
7.05 3.032665739358379e-09 1.570123770531699e-09
7.15 3.272213896901036e-09 2.1634017579630386e-09
7.25 2.954855765068144e-09 2.1014590826414825e-09
7.35 2.7219648669152673e-09 1.5600322056789588e-09
7.45 2.3936326170382176e-09 1.4685581210560812e-09
7.55 2.571892287356184e-09 2.046238939636452e-09
7.65 2.383122318796511e-09 1.996864833006574e-09
7.75 1.8669345973646825e-09 1.386895041615115e-09
7.85 1.731610798187991e-09 1.18031491531534e-09
7.95 1.6294438986646552e-09 1.230374497329788e-09
8.05 1.8036642327034692e-09 1.2584867274650353e-09
8.15 2.2665218664043063e-09 1.4969042823282805e-09
8.25 2.864824158776007e-09 1.8077451237459487e-09
8.35 2.8433832091075695e-09 1.8321481252374947e-09
8.45 2.465875451437345e-09 1.6102761143582531e-09
8.55 2.1266432476882202e-09 1.369351350123166e-09
8.65 2.0362689038333424e-09 1.1566358724654239e-09
8.75 2.1121665684827427e-09 1.1097748752717316e-09
8.85 2.122672177243356e-09 1.2340869704848705e-09
8.95 2.139336263830753e-09 1.373612316671676e-09
9.05 2.226337787025235e-09 1.3757371216610145e-09
9.15 2.3638372841557325e-09 1.4640380193457482e-09
9.25 2.53975948059613e-09 1.5827645535466616e-09
9.35 2.6452850468647362e-09 1.7673634139278604e-09
9.45 2.8384620197278613e-09 1.4854673581785399e-09
9.55 2.9613805036159523e-09 1.242534362935887e-09
9.65 3.1757912946601337e-09 1.3170232455628928e-09
9.75 2.976465763526296e-09 1.2612481424973904e-09
9.85 2.56468250454602e-09 1.170758309200745e-09
9.95 2.5267302041559524e-09 1.1242443610436098e-09
10.05 2.5088581148873776e-09 1.2834424502681558e-09
10.15 2.841664318933628e-09 1.3595208382200755e-09
10.25 3.2979932071819013e-09 1.3756027201484903e-09
10.35 3.5169793239522593e-09 1.6186989569296327e-09
10.45 3.361793301077129e-09 1.4710773592847858e-09
10.55 2.3728862093438306e-09 9.281694603052137e-10
10.65 2.002796457052701e-09 7.633896309813002e-10
10.75 1.7629368845174665e-09 8.749671479245581e-10
10.85 1.67583243721874e-09 1.1057844732471258e-09
10.95 1.6108747770103946e-09 1.003732607360923e-09
11.05 1.95271644135457e-09 8.627916344332417e-10
11.15 2.2822597726174393e-09 9.48230596757888e-10
11.25 2.6119371375388987e-09 8.860686585145269e-10
11.35 2.393059085726131e-09 8.400556472416162e-10
11.45 2.478967966329641e-09 8.539995495090719e-10
11.55 2.59238405347325e-09 8.805981582649527e-10
11.65 2.709953521815117e-09 1.1039544980847291e-09
11.75 2.4567038271585832e-09 1.0232933292670897e-09
11.85 1.8438158222160027e-09 7.364238220303746e-10
11.95 1.5079666360085845e-09 6.901210399507853e-10
12.05 1.509324522163149e-09 7.702027373570596e-10
12.15 1.6368297907293776e-09 8.152627958897965e-10
12.25 1.7243218611094958e-09 7.797868420357358e-10
12.35 1.6290826795467475e-09 7.578589580234777e-10
12.45 1.3015929452497596e-09 6.863072722087864e-10
12.55 9.380647759892719e-10 5.055710999108062e-10
12.65 1.0433064727489145e-09 4.768917711750674e-10
12.75 1.2004066857584163e-09 5.57707528776705e-10
