wavelength(nm)    spectral_current_density(A*m^-2*nm^-1)    error(A*m^-2*nm^-1)
1.05 1.8824665484655033e-10 2.6507550838032404e-10
1.15 4.043010034772802e-10 5.699672193640289e-10
1.25 5.162345704445712e-10 6.81435277912308e-10
1.35 5.456343017510283e-10 7.513411647206128e-10
1.45 1.1726853195056678e-09 1.5945447575104563e-09
1.55 2.2996909778857096e-09 3.1019284286225545e-09
1.65 2.8713589293326273e-09 3.764025327841421e-09
1.75 2.403797790632909e-09 2.8267946125460693e-09
1.85 1.5307134807495886e-09 1.6613055667482679e-09
1.95 1.016092030336849e-09 9.319990647358365e-10
2.05 3.06609458275125e-09 1.8790133326678645e-09
2.15 4.2717598352365405e-09 2.538049267507125e-09
2.25 5.352794685597195e-09 3.1193065159799066e-09
2.35 1.083239961311631e-09 8.881347906408511e-10
2.45 1.0038587386640647e-09 8.059324309383689e-10
2.55 8.93064256422715e-10 6.970491522944874e-10
2.65 4.5158838495676614e-10 3.7152940444533036e-10
2.75 9.455825812607385e-10 5.771611774686395e-10
2.85 1.4865280754277585e-09 8.374198457537713e-10
2.95 2.222168687151985e-09 1.2042355608882624e-09
3.05 1.8624588233854924e-09 1.2072587470117447e-09
3.15 1.8717639246660186e-09 1.4409042799070399e-09
3.25 5.531857052196461e-09 3.2073453886678348e-09
3.35 5.225816658967811e-09 2.9079407076469564e-09
3.45 4.245423647134365e-09 2.190546052258984e-09
3.55 1.5597343260036649e-09 9.701329518379802e-10
3.65 1.4952017153262717e-09 1.0490892524221055e-09
3.75 1.6918030078219072e-09 1.3200838425585437e-09
3.85 2.9401992053594785e-09 1.9940419526404532e-09
3.95 2.3403315862364964e-08 7.96718462019885e-09
4.05 2.782255853712391e-08 9.681051735267908e-09
4.15 2.7831412912773006e-08 9.593917238893124e-09
4.25 7.346234433414997e-09 4.152503240897404e-09
4.35 5.536226567671688e-09 3.2013225420981184e-09
4.45 7.354933622675612e-10 4.4770997366661023e-10
4.55 -1.2158649808234139e-09 7.298886238056912e-10
4.65 7.092738569822143e-10 3.7835514441309835e-10
4.75 3.5631710336215572e-09 1.7367436197661423e-09
4.85 2.198652845550403e-09 9.848986175525047e-10
4.95 1.1765966713874448e-10 9.787923188032697e-11
5.05 2.7669181016506302e-09 1.3073921394316636e-09
5.15 3.127716813640631e-09 1.4974623310053315e-09
5.25 1.4819664282354902e-09 8.01594816696437e-10
5.35 2.2377192911222934e-09 1.2558798717155009e-09
5.45 3.727360689088735e-09 1.5321764318955015e-09
5.55 4.406105023837346e-09 1.716545202770805e-09
5.65 4.760542308805733e-09 1.6280126598226958e-09
5.75 2.4240102754192535e-09 9.509901295782878e-10
5.85 1.8388038529098867e-09 8.474211093255485e-10
5.95 1.4999405931282766e-09 5.638793252079888e-10
6.05 2.8002878999750086e-09 1.0382293629252553e-09
6.15 3.56249119212843e-09 1.3057034820407488e-09
