wavelength(nm)    spectral_current_density(A*m^-2*nm^-1)    error(A*m^-2*nm^-1)
1.05 8.140050131105372e-10 1.1488468815423293e-09
1.15 1.4160815531831364e-09 2.001118708521216e-09
1.25 2.529247310361049e-09 3.3465403528424958e-09
1.35 4.340214696994469e-09 5.98693202299714e-09
1.45 7.925799355745692e-09 1.0798960481188864e-08
1.55 1.1506632571916663e-08 1.5556561735948355e-08
1.65 1.3442124306345382e-08 1.7665329782563442e-08
1.75 1.3102401711440428e-08 1.5455419903456736e-08
1.85 1.0102352177823562e-08 1.10046481175504e-08
1.95 6.242214304057677e-09 5.758252794043703e-09
2.05 1.3545071370217893e-08 8.414969623734847e-09
2.15 1.3355438737712372e-08 8.056160021031311e-09
2.25 1.2886961976447542e-08 7.633319154850011e-09
2.35 2.190057565358579e-09 1.811142565648114e-09
2.45 1.815310833346597e-09 1.4709899009396148e-09
2.55 1.4697182971618443e-09 1.1586360407056235e-09
2.65 6.245026161018793e-10 5.182957909922778e-10
2.75 9.280290353257976e-10 5.748127640256171e-10
2.85 1.0061903378991843e-09 5.763948313187069e-10
2.95 1.2229859263972835e-09 6.757771085203452e-10
3.05 9.667727294633576e-10 6.362303446171005e-10
3.15 9.905922404550937e-10 7.714788183766162e-10
3.25 3.125185663679292e-09 1.8501763242715982e-09
3.35 3.2778592352829538e-09 1.8640908513803607e-09
3.45 3.0295479862859095e-09 1.5977234849007107e-09
3.55 1.1911608661750788e-09 7.496505076348236e-10
3.65 9.97947965943136e-10 7.057421508203142e-10
3.75 8.594802223721599e-10 6.754052422326052e-10
3.85 1.1824761720108936e-09 8.124292246591206e-10
3.95 8.105327313602332e-09 2.962447501369641e-09
4.05 8.87444960517059e-09 3.3881627014069586e-09
4.15 8.709098870686013e-09 3.385140051001611e-09
4.25 2.5108664925499574e-09 1.5015118728846408e-09
4.35 2.77000980873641e-09 1.6842169618073819e-09
4.45 2.069605202173097e-09 1.2910734674348016e-09
4.55 2.4547416767580957e-09 1.483658346643117e-09
4.65 2.723480824177616e-09 1.4671303861521882e-09
4.75 2.8577665746367464e-09 1.4389004280618407e-09
4.85 2.179602640134553e-09 1.0191785817592265e-09
4.95 3.875430181624946e-09 1.7805578781116717e-09
5.05 3.5616837379772723e-09 1.7294579044024907e-09
5.15 3.787868170279496e-09 1.862513763434414e-09
5.25 1.6713382753908513e-09 9.232613713679795e-10
5.35 2.397310965698781e-09 1.3720931621794507e-09
5.45 3.8874308325185895e-09 1.656495755284156e-09
5.55 4.56292001345174e-09 1.8499394801342031e-09
5.65 4.95561740616475e-09 1.783598951844332e-09
5.75 2.5486511918547404e-09 1.039942248073656e-09
5.85 1.9504625246660307e-09 9.250971926939614e-10
5.95 1.5975020680994814e-09 6.266859933905879e-10
6.05 2.977729004770929e-09 1.153369280760976e-09
6.15 3.766504123707707e-09 1.4435963068419205e-09
6.25 4.459828858415132e-09 2.5229661083074915e-09
6.35 3.679671955469351e-09 2.150457144928758e-09
6.45 3.0551649524371917e-09 1.805281871294321e-09
6.55 2.4800948506754502e-09 1.1513073740335565e-09
6.65 2.9832322274553427e-09 1.4284191003575646e-09
6.75 2.72110741452908e-09 1.2357245693512357e-09
6.85 3.6276336925467807e-09 1.5740429961468767e-09
6.95 3.890573174743418e-09 1.52922721680288e-09
7.05 4.852051246567957e-09 2.554793221180285e-09
7.15 5.495395308767125e-09 3.6689295430392982e-09
7.25 5.209140202926836e-09 3.733834115763621e-09
7.35 5.028057043662321e-09 2.9135570451316135e-09
7.45 4.617686495577039e-09 2.8577193281141445e-09
7.55 5.159137270331754e-09 4.123648183434094e-09
7.65 4.9467008129965585e-09 4.160197974094918e-09
7.75 3.990618237999362e-09 2.9767467188438686e-09
7.85 3.794933951038267e-09 2.5978910241732408e-09
7.95 3.6481545601220183e-09 2.7632321787967376e-09
8.05 4.114334359493342e-09 2.8799661116811385e-09
8.15 5.258069068052839e-09 3.483670742032805e-09
8.25 6.751845241852177e-09 4.273544395000304e-09
8.35 6.804390353441217e-09 4.395637869467344e-09
8.45 5.990681901326213e-09 3.920398283606481e-09
8.55 5.245041988668861e-09 3.383544720666956e-09
8.65 5.098852092210229e-09 2.9019827911165277e-09
8.75 5.370485057527383e-09 2.827241988185724e-09
8.85 5.482108365597565e-09 3.191560088501517e-09
8.95 5.615489345851487e-09 3.609216110698817e-09
9.05 5.9459348204236144e-09 3.678080169662717e-09
9.15 6.434456941166482e-09 3.989345412460441e-09
9.25 7.0625146980544084e-09 4.405903796882881e-09
9.35 7.534904695109948e-09 5.038650814954127e-09
9.45 8.302505502840311e-09 4.350743147328038e-09
9.55 8.907964271106733e-09 3.7442624614605746e-09
9.65 9.819898155394099e-09 4.078774119670322e-09
9.75 9.438510251746998e-09 4.005355059501767e-09
9.85 8.328759845166982e-09 3.807681184542415e-09
9.95 8.47947961039797e-09 3.779201304819759e-09
10.05 8.486584650434287e-09 4.349308498803987e-09
10.15 1.0302291765197337e-08 4.934466907811672e-09
10.25 1.2426367243350236e-08 5.1883481455806734e-09
10.35 1.3547479701632311e-08 6.240430555523778e-09
10.45 1.3148490059264351e-08 5.7600022929804385e-09
10.55 9.412737549101556e-09 3.688097828893246e-09
10.65 8.072843991953045e-09 3.08340586484161e-09
10.75 7.242776645504444e-09 3.599430102512776e-09
10.85 7.039480235785988e-09 4.648522914797049e-09
10.95 6.936662468755335e-09 4.325899797831016e-09
11.05 8.635674872280057e-09 3.821744703253763e-09
11.15 1.0375222463722112e-08 4.317954405856765e-09
11.25 1.2207055265979017e-08 4.1506483113262e-09
11.35 1.1490448328386866e-08 4.041506994377374e-09
11.45 1.2213741937730442e-08 4.215571060127684e-09
11.55 1.3083868396389869e-08 4.4527617249132295e-09
11.65 1.3982833759866525e-08 5.7037704853362895e-09
11.75 1.2931708344266798e-08 5.393851035036917e-09
11.85 9.879968739846312e-09 3.952732266332866e-09
11.95 8.208593351535242e-09 3.762268836503212e-09
12.05 8.330629532876763e-09 4.257084417032744e-09
12.15 9.145265867722053e-09 4.562929989820944e-09
12.25 9.73872979333977e-09 4.414902336291881e-09
12.35 9.290302991089064e-09 4.3333583396728435e-09
12.45 7.488402691025512e-09 3.957703211056532e-09
12.55 5.441261470717515e-09 2.9398444813340514e-09
12.65 6.098752035134692e-09 2.7982360459008606e-09
12.75 7.069571614775475e-09 3.2974702651279674e-09
12.85 9.413800015739778e-09 3.998343118194002e-09
12.95 1.194520644180314e-08 4.497846572962315e-09
13.05 1.6225009985964546e-08 5.916666704798872e-09
13.15 1.568292462105321e-08 5.7851688895697275e-09
13.25 1.3549057754470493e-08 5.486509286730441e-09
13.35 1.0703133042671933e-08 5.632658244285798e-09
13.45 1.0053849412298217e-08 4.892222997644568e-09
13.55 9.817896912180606e-09 4.118939162644293e-09
13.65 9.695822640898724e-09 4.003379093013955e-09
13.75 1.0889593009489664e-08 4.589596724034953e-09
13.85 1.0912531064385215e-08 4.724270855744594e-09
13.95 1.263991765377765e-08 5.4260182317797176e-09
14.05 1.4637513064944493e-08 8.365269756982673e-09
14.15 1.4194165194040413e-08 7.8642437504162e-09
14.25 1.2831869021247239e-08 5.005115847906861e-09
14.35 1.949915276809902e-08 6.653898351553954e-09
14.45 2.7090964770941618e-08 9.71810983046669e-09
14.55 2.790900115434435e-08 1.0030784463256256e-08
14.65 2.6133501132731225e-08 9.767257376693142e-09
