wavelength(nm)    spectral_current_density(A*m^-2*nm^-1)    error(A*m^-2*nm^-1)
1.05 1.300940524887726e-10 1.8383347216964367e-10
1.15 3.180800546386096e-10 4.5054977890051506e-10
1.25 4.781114733983132e-10 6.356846964240024e-10
1.35 6.256740683302579e-10 8.695699203905685e-10
1.45 1.3608902940243115e-09 1.8663350615874397e-09
1.55 2.545484848096281e-09 3.458872082641886e-09
1.65 3.271031834073533e-09 4.321488515111264e-09
1.75 3.073535549075083e-09 3.6542301769178606e-09
1.85 2.2692353164872052e-09 2.498975770737499e-09
1.95 1.5154342208587477e-09 1.4177101886528783e-09
2.05 3.955814033410538e-09 2.513931311779497e-09
2.15 4.736127582776267e-09 2.9040560651387407e-09
2.25 5.292530392325196e-09 3.1707500427336977e-09
2.35 9.826030069023148e-10 8.157341970869133e-10
2.45 8.510025118325887e-10 6.913313629300206e-10
2.55 7.239424570033741e-10 5.716329341258995e-10
2.65 3.675989256563789e-10 3.054328408078112e-10
2.75 8.099641323832652e-10 5.030702303052412e-10
2.85 1.3126676263160434e-09 7.545131632028476e-10
2.95 1.944718366472192e-09 1.0763611804672304e-09
3.05 1.582104485995158e-09 1.0402707790776081e-09
3.15 1.5278974008960815e-09 1.187616441623542e-09
3.25 4.308603757739132e-09 2.5378249514728072e-09
3.35 3.87048219664658e-09 2.1868172490036767e-09
3.45 3.044237416490554e-09 1.5938833374279407e-09
3.55 1.170716101310491e-09 7.346526020305484e-10
3.65 1.2635083611103136e-09 8.941403832017573e-10
3.75 1.529569879354108e-09 1.2035548059880956e-09
3.85 2.671950854394085e-09 1.8337325465233578e-09
3.95 2.08780723582737e-08 7.445467627324008e-09
4.05 2.4283197880372356e-08 8.837081976919642e-09
4.15 2.3982099109629808e-08 8.653502187197887e-09
4.25 6.467683109577906e-09 3.7201661347567384e-09
4.35 5.7425500016437115e-09 3.376080893234241e-09
4.45 2.7284506761951687e-09 1.6868397109469341e-09
4.55 2.7928030945840786e-09 1.7018095797609119e-09
4.65 4.848996282196606e-09 2.633355324310091e-09
4.75 7.090301325958577e-09 3.529366478374949e-09
4.85 5.375255486295931e-09 2.4597074521851547e-09
4.95 7.40433711341031e-09 3.4080876334946064e-09
5.05 8.736122537548758e-09 4.203084336660589e-09
5.15 9.620909193186068e-09 4.6866435615678245e-09
5.25 4.3829180537782175e-09 2.4024849224225185e-09
5.35 6.467725604806626e-09 3.674470793361157e-09
5.45 1.0741539860064802e-08 4.515740397771084e-09
5.55 1.2857014440068773e-08 5.136202414055273e-09
5.65 1.4195581604658685e-08 5.015985599475816e-09
5.75 7.413145952765543e-09 2.98302929706708e-09
5.85 5.7645460304344065e-09 2.706835030718182e-09
5.95 4.807431563776871e-09 1.8588937811682792e-09
6.05 9.149230971938282e-09 3.492507343230046e-09
6.15 1.1845830450439409e-08 4.473936013424108e-09
6.25 1.4381237482565406e-08 8.082031093907288e-09
6.35 1.2170586983604957e-08 7.069509020105837e-09
6.45 1.0354897726112897e-08 6.083133081268161e-09
6.55 8.595287775941342e-09 3.953642957444856e-09
6.65 1.0540856846045211e-08 5.005579458106452e-09
6.75 9.76966694735005e-09 4.398193031288933e-09
6.85 1.3190639752914615e-08 5.672706204881841e-09
6.95 1.4285125825777129e-08 5.5590664949351e-09
7.05 1.7946632123095113e-08 9.402316432481714e-09
7.15 2.04390056818732e-08 1.360806241507409e-08
7.25 1.9456420445115682e-08 1.3916726282875328e-08
7.35 1.884094945488654e-08 1.0887199796178364e-08
7.45 1.73438379661053e-08 1.0711146176959595e-08
7.55 1.9404065776239277e-08 1.5493133193390438e-08
7.65 1.8609091587622427e-08 1.5637791472690267e-08
7.75 1.4995930677493276e-08 1.1176421273055575e-08
7.85 1.4225804973725369e-08 9.730166756284516e-09
7.95 1.362596603952295e-08 1.0314608515399353e-08
8.05 1.5298154170817884e-08 1.0702090630631704e-08
8.15 1.945426259412352e-08 1.2881890905213148e-08
8.25 2.485520088374085e-08 1.5723666430793557e-08
8.35 2.4923326285154104e-08 1.6093595891042614e-08
8.45 2.18290491164855e-08 1.4280315947063087e-08
8.55 1.899736265031056e-08 1.2251460242639502e-08
8.65 1.8323559718411743e-08 1.0425483664343744e-08
8.75 1.909084720754523e-08 1.0047130541379517e-08
8.85 1.9196110077288558e-08 1.1173146110093199e-08
8.95 1.927303686740144e-08 1.238530537112726e-08
9.05 1.9901244886942995e-08 1.230867671196139e-08
9.15 2.0912434167468202e-08 1.2963628562557106e-08
9.25 2.2228708854895927e-08 1.3865142402039504e-08
9.35 2.2952733358092252e-08 1.5346737760315118e-08
9.45 2.4510196067673948e-08 1.2841566075402136e-08
9.55 2.5541792052497684e-08 1.0733030835386e-08
9.65 2.7376879334496754e-08 1.1368350132454291e-08
9.75 2.5522885114726043e-08 1.0828418352124944e-08
9.85 2.1687562028884887e-08 9.912810196515071e-09
9.95 2.107041948829767e-08 9.388641730407166e-09
10.05 2.0086178523130515e-08 1.0289894073853718e-08
10.15 2.3458206025664397e-08 1.1233792298525276e-08
10.25 2.7325014742502156e-08 1.1407959755632147e-08
10.35 2.8830910427882028e-08 1.327961997006522e-08
10.45 2.71150923814842e-08 1.1876867615604058e-08
10.55 1.8825731186739375e-08 7.374420645922938e-09
10.65 1.566901990803845e-08 5.982613030652696e-09
10.75 1.3650196314303036e-08 6.782031919133267e-09
10.85 1.2888749399903544e-08 8.509808221152805e-09
10.95 1.2344013400316925e-08 7.69678176742848e-09
11.05 1.494223498008255e-08 6.610654399414995e-09
11.15 1.746152824751373e-08 7.264817758138569e-09
11.25 1.998869514578166e-08 6.793778290649368e-09
11.35 1.831017210395083e-08 6.43812404825153e-09
11.45 1.894306073769742e-08 6.53637653531284e-09
11.55 1.975245655033145e-08 6.7205914926134135e-09
11.65 2.0548449649994933e-08 8.38063017255337e-09
11.75 1.8498498910932393e-08 7.714551547159368e-09
11.85 1.3756834414039585e-08 5.502675774142597e-09
11.95 1.1124824884418562e-08 5.097920505828074e-09
12.05 1.0988593470670405e-08 5.6142790176462484e-09
12.15 1.1740414133637643e-08 5.856279502266122e-09
12.25 1.216758926138962e-08 5.513910360125015e-09
12.35 1.1296773159511856e-08 5.266984648855193e-09
12.45 8.862616651550986e-09 4.682133718600546e-09
12.55 6.268581841696986e-09 3.385352107056471e-09
12.65 6.8404217430829734e-09 3.1363770509661827e-09
12.75 7.721698771391955e-09 3.598996861544556e-09
12.85 1.0016170300231283e-08 4.25009280870263e-09
12.95 1.2385791417602849e-08 4.657638545090818e-09
13.05 1.6403082475484034e-08 5.97281653712265e-09
13.15 1.5468201482470272e-08 5.697459890266087e-09
13.25 1.3046797158333778e-08 5.276429948533343e-09
13.35 1.0070480093405497e-08 5.295684436795787e-09
13.45 9.251980765787343e-09 4.498004769101451e-09
13.55 8.846315269977107e-09 3.706869843071599e-09
13.65 8.564698390743697e-09 3.53198609329845e-09
13.75 9.443450910969601e-09 3.9754374544874495e-09
13.85 9.30490338737669e-09 4.023867146118264e-09
13.95 1.061554289776958e-08 4.551941124394563e-09
14.05 1.2130749585249868e-08 6.928325146966447e-09
14.15 1.163128110285488e-08 6.439954863660051e-09
14.25 1.0419284254853465e-08 4.058462624472215e-09
14.35 1.5724528940256644e-08 5.355848167999298e-09
14.45 2.174819403926028e-08 7.787812068422388e-09
14.55 2.2357874769929547e-08 8.020772518592476e-09
14.65 2.0942747178408008e-08 7.812952275526947e-09
14.75 3.716606758051411e-08 1.881800259179103e-08
14.85 4.2984305090762344e-08 2.252790942409681e-08
14.95 4.2196587490136457e-08 1.6601002142881165e-08
15.05 2.692960187911343e-08 9.12965648159519e-09
15.15 3.167088463477645e-08 2.017490169207862e-08
15.25 2.7624751251797465e-08 2.2514690635118506e-08
15.35 2.3455823814326803e-08 1.838242058169382e-08
15.45 1.77192918943931e-08 1.4370022876804624e-08
15.55 1.3582730404587046e-08 8.51774551800371e-09
15.65 1.3750256543767769e-08 9.608329872045463e-09
15.75 2.2819751068270073e-08 1.9192098456745436e-08
15.85 2.5143358219794416e-08 1.8451926173902506e-08
15.95 2.214195517200744e-08 1.1046162272034501e-08
16.05 1.8595460946123034e-08 1.2141459617393471e-08
16.15 1.7287196187794726e-08 1.2778246807504619e-08
16.25 1.3328841524198261e-08 1.0605475135400045e-08
16.35 1.7968350029018166e-08 1.755939771847765e-08
