wavelength(nm)    spectral_current_density(A*m^-2*nm^-1)    error(A*m^-2*nm^-1)
1.05 6.680306442686186e-10 9.428371916197498e-10
1.15 1.0979170490615108e-09 1.5515015997986466e-09
1.25 1.9843554422920764e-09 2.6255919621850694e-09
1.35 3.384300313911103e-09 4.6683513580565914e-09
1.45 6.037130816537845e-09 8.22557601954596e-09
1.55 8.793327483152515e-09 1.1888190547513287e-08
1.65 1.0681996678516412e-08 1.4038073773324967e-08
1.75 1.0899608138720583e-08 1.2857195175548658e-08
1.85 8.552339682452957e-09 9.316332567718673e-09
1.95 5.173412081754786e-09 4.77231742025456e-09
2.05 1.0794987748056189e-08 6.70606382089617e-09
2.15 1.0445035703577947e-08 6.3000933603233275e-09
2.25 1.0478678782044856e-08 6.206665223370933e-09
2.35 2.0109432164476997e-09 1.6630264294296031e-09
2.45 2.058262858472153e-09 1.6678336745757256e-09
2.55 2.216963246303042e-09 1.747726012315919e-09
2.65 1.284374897040875e-09 1.066192797011248e-09
2.75 2.3786663615105264e-09 1.4749687999914417e-09
2.85 2.5374538686275666e-09 1.4554354339997026e-09
2.95 2.3916199221784886e-09 1.321696988240758e-09
3.05 1.3534150446466431e-09 8.902399041112621e-10
3.15 1.0544988568329456e-09 8.211310053462147e-10
3.25 2.888915867427466e-09 1.7111407513099296e-09
3.35 3.0563697127748113e-09 1.7393282821510962e-09
3.45 3.187096581782127e-09 1.6818940580651914e-09
3.55 1.448834739827571e-09 9.125750736618599e-10
3.65 1.2948841246055e-09 9.164841419545166e-10
3.75 1.051653203155529e-09 8.265485526380845e-10
3.85 1.2848789109337115e-09 8.823108173704051e-10
3.95 8.117058822619303e-09 2.965693630169409e-09
4.05 9.016084986540575e-09 3.4494128272453037e-09
4.15 1.0003003422750352e-08 3.870393080897518e-09
4.25 3.559543234478352e-09 2.107604254649965e-09
4.35 4.980986348307984e-09 2.986464978844769e-09
4.45 4.200752717170627e-09 2.6111691618141996e-09
4.55 4.3901601634839825e-09 2.6612792780874813e-09
4.65 4.177956587162327e-09 2.2544488373208977e-09
4.75 4.777909496905238e-09 2.396434946407776e-09
4.85 4.135405071299651e-09 1.9226336960040103e-09
4.95 5.9250489360059065e-09 2.732024925035604e-09
5.05 6.291133190626085e-09 3.054450922344484e-09
5.15 6.805666055905494e-09 3.3459619916885373e-09
5.25 3.011583538706892e-09 1.663445964700524e-09
5.35 4.354894645174829e-09 2.492246664095259e-09
5.45 7.128778119533271e-09 3.0370889166249584e-09
5.55 8.392308862168723e-09 3.4017449117558265e-09
5.65 9.042717308680185e-09 3.2537266071874144e-09
5.75 4.564860795676028e-09 1.8622511014427508e-09
5.85 3.404879626850703e-09 1.6146890290470343e-09
5.95 2.7134402297916668e-09 1.0642427225622343e-09
6.05 4.939433633704951e-09 1.9128128830332045e-09
6.15 6.147406939293612e-09 2.3556506847261406e-09
6.25 7.22474021308829e-09 4.0867214124588324e-09
