wavelength(nm)    spectral_current_density(A*m^-2*nm^-1)    error(A*m^-2*nm^-1)
1.05 3.2935050786680114e-10 4.647822640001513e-10
1.15 6.135283494448367e-10 8.670592257220875e-10
1.25 1.0688899572983483e-09 1.4143628244604513e-09
1.35 1.7654705664585645e-09 2.4351194560440065e-09
1.45 3.3334588449627602e-09 4.541575670287904e-09
1.55 5.2079744602789395e-09 7.041240037702458e-09
1.65 6.529609561229538e-09 8.58182991398699e-09
1.75 6.721807746341116e-09 7.92947572544832e-09
1.85 5.41455258869731e-09 5.897923659568552e-09
1.95 3.493161916245493e-09 3.221825447153911e-09
2.05 7.9619495477616e-09 4.944966451353304e-09
2.15 8.318753051236319e-09 5.0178301292319725e-09
2.25 8.612044211410803e-09 5.102693853210314e-09
2.35 1.604239993302171e-09 1.326997785030891e-09
2.45 1.5146633086109388e-09 1.2275826627568613e-09
2.55 1.485752102334166e-09 1.17124187457949e-09
2.65 8.209407487944351e-10 6.812554418748476e-10
2.75 1.6032891348405224e-09 9.933311923623472e-10
2.85 2.015742275839769e-09 1.155562344787939e-09
2.95 2.3997535431362476e-09 1.3264906884844428e-09
3.05 1.722460142473805e-09 1.133386075353036e-09
3.15 1.6070318142611905e-09 1.25129118142044e-09
3.25 4.763773533536136e-09 2.819076135453175e-09
3.35 4.891861179949637e-09 2.780687925555161e-09
3.45 4.646087042196577e-09 2.4495601578813872e-09
3.55 1.9658097448139066e-09 1.2377524122759376e-09
3.65 1.7956244027171338e-09 1.271158111677697e-09
3.75 1.6299004716851112e-09 1.2819032523393957e-09
3.85 2.2652491703920063e-09 1.5563631411472556e-09
3.95 1.5349451783756448e-08 5.569940010297188e-09
4.05 1.6485670572274326e-08 6.19945679591605e-09
4.15 1.5685450812179228e-08 5.9574560315176276e-09
4.25 4.207313016151273e-09 2.4889833573101678e-09
4.35 3.81198853383544e-09 2.3094099896669745e-09
4.45 1.8034702475885076e-09 1.1282584433888654e-09
4.55 1.4856389300404452e-09 8.917763738173035e-10
4.65 2.3008381069468513e-09 1.2348274084884925e-09
4.75 3.394134557639496e-09 1.7105809181224496e-09
4.85 2.471634567866706e-09 1.1575743851861433e-09
4.95 2.946376087754831e-09 1.3434088200251756e-09
5.05 3.765640515592567e-09 1.8284673228609252e-09
5.15 4.1071652471780615e-09 2.019469622664349e-09
5.25 1.8542510291344429e-09 1.024279626304292e-09
5.35 2.718244771410138e-09 1.5557353624735873e-09
5.45 4.503312301686269e-09 1.918818920066393e-09
5.55 5.400804843617654e-09 2.1894798129766805e-09
5.65 5.994626182029012e-09 2.157329294698671e-09
5.75 3.1511619821675973e-09 1.2856755182872571e-09
5.85 2.4643388355473476e-09 1.1687446916552213e-09
5.95 2.0612407887401243e-09 8.085171569218102e-10
6.05 3.919552901150286e-09 1.5179827503777777e-09
6.15 5.050739837700283e-09 1.935551066881632e-09
6.25 6.083295979046805e-09 3.4411544057874027e-09
6.35 5.098073973566629e-09 2.979205016644953e-09
6.45 4.294467025651491e-09 2.5374179023829157e-09
6.55 3.5345090582150174e-09 1.6406152608939664e-09
6.65 4.310136767064285e-09 2.0635604799571578e-09
6.75 3.987387636462567e-09 1.8105824537738407e-09
6.85 5.39603712981008e-09 2.3410974821878233e-09
6.95 5.880386813595832e-09 2.311044927752241e-09
7.05 7.457822882119627e-09 3.926571557816757e-09
7.15 8.592330926103135e-09 5.736341988428675e-09
7.25 8.281163891016576e-09 5.935641025431888e-09
7.35 8.115400341186999e-09 4.702363113352088e-09
7.45 7.548538982677032e-09 4.671378480241365e-09
7.55 8.513776695925629e-09 6.804874887776155e-09
7.65 8.209305213947282e-09 6.903982836405277e-09
7.75 6.633681426532211e-09 4.948241972442996e-09
7.85 6.295932152458553e-09 4.309941830604262e-09
7.95 6.022973576425948e-09 4.561959911503498e-09
8.05 6.746953813892781e-09 4.722717461888343e-09
8.15 8.558040881509002e-09 5.66998407778764e-09
8.25 1.0909019046111559e-08 6.904756984614921e-09
8.35 1.092131927719805e-08 7.055135669294523e-09
8.45 9.558434314640367e-09 6.255164812495686e-09
8.55 8.32013250140622e-09 5.367246969295842e-09
8.65 8.033599676426827e-09 4.572260098983466e-09
8.75 8.385450588199077e-09 4.414426461143724e-09
8.85 8.45301183414251e-09 4.9211411935205555e-09
8.95 8.513306402602376e-09 5.471706626397783e-09
9.05 8.82188059650364e-09 5.457095057986011e-09
9.15 9.303778287005544e-09 5.768308415483837e-09
9.25 9.920154162709239e-09 6.188615683629772e-09
9.35 1.0259687186682665e-08 6.860728192317309e-09
9.45 1.0942186232620856e-08 5.734001914051763e-09
9.55 1.1339124298316889e-08 4.766138637981799e-09
9.65 1.2019785293076244e-08 4.99250907705783e-09
9.75 1.102266307012308e-08 4.677607209490018e-09
9.85 9.191173877476395e-09 4.201951850786888e-09
9.95 8.819349384990432e-09 3.930677173331611e-09
10.05 8.573432628893105e-09 4.3938111644848694e-09
10.15 9.708268222556591e-09 4.649949646221072e-09
10.25 1.1235857538689156e-08 4.691282741367962e-09
10.35 1.1934979047537204e-08 5.497662767341378e-09
10.45 1.1360597996782938e-08 4.9767783482928565e-09
10.55 7.986111052649838e-09 3.129119234449737e-09
10.65 6.714273733095732e-09 2.56450407972428e-09
10.75 5.887389562499663e-09 2.925846599130526e-09
10.85 5.573983742457896e-09 3.6807826842205986e-09
10.95 5.334135359473223e-09 3.3265195822147397e-09
11.05 6.43313971751183e-09 2.847008837899108e-09
11.15 7.474034616618663e-09 3.1105443510933434e-09
