SXUV Responsivity 
lambda (nm)	Responsivity (A/W)       
 1.01970506445810e+000    2.71942446043165e-001
 1.03979841848149e+000    2.71942446043165e-001
 1.06028771334109e+000    2.71942446043165e-001
 1.08118075107661e+000    2.69424460431655e-001
 1.10248548746743e+000    2.69424460431655e-001
 1.12421003506209e+000    2.69424460431655e-001
 1.14636266626742e+000    2.69424460431655e-001
 1.16895181649858e+000    2.66906474820144e-001
 1.19198608739109e+000    2.66906474820144e-001
 1.21547425007629e+000    2.66906474820144e-001
 1.23942524852120e+000    2.66906474820144e-001
 1.26384820293430e+000    2.64388489208633e-001
 1.28875241323837e+000    2.64388489208633e-001
 1.31414736261176e+000    2.64388489208633e-001
 1.36644834929533e+000    2.61870503597122e-001
 1.39337430209685e+000    2.61870503597122e-001
 1.42083083253392e+000    2.61870503597122e-001
 1.47737765259851e+000    2.59352517985611e-001
 1.50648947447192e+000    2.59352517985611e-001
 1.53617494667183e+000    2.59352517985611e-001
 1.59731228006025e+000    2.56834532374101e-001
 1.62878742149855e+000    2.56834532374101e-001
 1.66088278262772e+000    2.56834532374101e-001
 1.69361058491674e+000    2.54316546762590e-001
 1.72698329065944e+000    2.54316546762590e-001
 1.76101360771993e+000    2.54316546762590e-001
 1.79571449437164e+000    2.54316546762590e-001
 1.97974916967964e+000    2.49280575539568e-001
 2.09910372010855e+000    2.46762589928058e-001
 2.14046669421752e+000    2.46762589928058e-001
 2.18264472839749e+000    2.44244604316547e-001
 2.26951053669467e+000    2.41726618705036e-001
 2.31423138810857e+000    2.39208633093525e-001
 2.35983346678219e+000    2.39208633093525e-001
 2.40633413735551e+000    2.39208633093525e-001
 2.50210243036028e+000    2.36690647482014e-001
 2.55140652003129e+000    2.36690647482014e-001
 2.60168214996731e+000    2.36690647482014e-001
 2.65294846443190e+000    2.36690647482014e-001
 2.70522498492753e+000    2.36690647482014e-001
 2.75853161762918e+000    2.36690647482014e-001
 2.81288866096426e+000    2.36690647482014e-001
 2.86831681334201e+000    2.34172661870504e-001
 2.92483718103516e+000    2.31654676258993e-001
 3.10116892657478e+000    2.26618705035971e-001
 3.16227766016838e+000    2.26618705035971e-001
 3.22459054529639e+000    2.26618705035971e-001
 3.28813130984243e+000    2.24100719424460e-001
 3.35292414924956e+000    2.24100719424460e-001
 3.41899373573363e+000    2.21582733812950e-001
 3.48636522767809e+000    2.21582733812950e-001
 3.55506427921395e+000    2.19064748201439e-001
 3.62511704998853e+000    2.16546762589928e-001
 3.91940677484722e+000    2.08992805755396e-001
 3.99663893798308e+000    2.06474820143885e-001
 4.23758716060406e+000    1.98920863309353e-001
 4.49306160060046e+000    1.93884892086331e-001
 4.58159766905449e+000    1.91366906474820e-001
 4.67187834644427e+000    1.88848920863309e-001
 4.76393801040134e+000    1.86330935251799e-001
 4.85781171597067e+000    1.83812949640288e-001
 5.15067807616812e+000    1.78776978417266e-001
 5.25217251966192e+000    1.76258992805755e-001
 5.35566691770690e+000    1.73741007194245e-001
 5.46120067953641e+000    1.71223021582734e-001
 5.79044398060249e+000    1.66187050359712e-001
 5.90454505248125e+000    1.63669064748201e-001
 6.13953660742272e+000    1.58633093525180e-001
 6.26051657201482e+000    1.56115107913669e-001
 6.38388045460735e+000    1.53597122302158e-001
 6.50967523045817e+000    1.53597122302158e-001
 6.76875000945853e+000    1.48561151079137e-001
 6.90212866469565e+000    1.46043165467626e-001
 7.17682246970630e+000    1.41007194244604e-001
 7.31824221907618e+000    1.41007194244604e-001
 7.46244865372303e+000    1.38489208633094e-001
 7.60949668545988e+000    1.35971223021583e-001
 7.75944230814053e+000    1.33453237410072e-001
 7.91234261898132e+000    1.30935251798561e-001
 8.22724134170047e+000    1.28417266187050e-001
 8.38935966265099e+000    1.25899280575540e-001
 8.55467253556568e+000    1.25899280575540e-001
 8.89513497310823e+000    1.25899280575540e-001
 9.24914727721733e+000    1.23381294964029e-001
 9.43140232049733e+000    1.20863309352518e-001
 9.61724871115296e+000    1.20863309352518e-001
 9.80675721691578e+000    1.20863309352518e-001
 1.00000000000000e+001    1.20863309352518e-001
 1.01970506445810e+001    1.23381294964029e-001
 1.12421003506209e+001    1.46043165467626e-001
 1.14636266626742e+001    1.48561151079137e-001
 1.21547425007629e+001    1.58633093525180e-001
 1.23942524852120e+001    1.83812949640288e-001
 1.26384820293430e+001    2.19064748201439e-001
 1.28875241323837e+001    2.21582733812950e-001
 1.31414736261176e+001    2.24100719424460e-001
 1.34004272109946e+001    2.24100719424460e-001
 1.36644834929533e+001    2.24100719424460e-001
 1.39337430209685e+001    2.21582733812950e-001
 1.42083083253392e+001    2.21582733812950e-001
 1.44882839567305e+001    2.19064748201439e-001
 1.47737765259851e+001    2.19064748201439e-001
 1.53617494667183e+001    2.16546762589928e-001
 1.56644537301491e+001    2.14028776978417e-001
 1.59731228006025e+001    2.11510791366906e-001
 1.83109916423157e+001    1.96402877697842e-001
 1.86718109129192e+001    1.93884892086331e-001
 1.90397401505077e+001    1.91366906474820e-001
 1.94149194574388e+001    1.88848920863309e-001
 2.01876025467904e+001    1.81294964028777e-001
